gene_symbol,allele_symbol,zygosity,phenotyping_center,n_mut_female,n_mut_male,n_ctrl_female,n_ctrl_male,centre_bg_pool_female,centre_bg_pool_male,mutant_test_period
Cap2,Cap2<tm1b(EUCOMM)Wtsi>,heterozygote,HMGU,4,2,41,39,41,39,2013-08-28/2013-08-28
Car4,Car4<tm1b(EUCOMM)Wtsi>,heterozygote,HMGU,4,4,41,39,41,39,2013-05-06/2013-05-06
Cdkal1,Cdkal1<tm2b(EUCOMM)Wtsi>,homozygote,HMGU,2,3,41,39,41,39,2013-08-20/2013-08-20
Eef2kmt,Eef2kmt<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,4,4,41,39,41,39,2013-07-02/2013-07-02
Efna5,Efna5<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,4,4,41,39,41,39,2013-05-23/2013-05-23
Hsf2bp,Hsf2bp<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,2,3,41,39,41,39,2013-07-24/2013-07-24
Klkb1,Klkb1<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,4,4,41,39,41,39,2013-07-17/2013-07-17
Mybbp1a,Mybbp1a<tm1b(EUCOMM)Hmgu>,heterozygote,HMGU,4,2,41,39,41,39,2013-07-10/2013-07-10
Ndfip2,Ndfip2<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,4,4,41,39,41,39,2013-05-02/2013-05-02
P2rx7,P2rx7<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,4,3,41,39,41,39,2013-05-16/2013-05-16
Pla2g10,Pla2g10<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,4,3,41,39,41,39,2013-08-27/2013-08-27
Rxfp2,Rxfp2<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,4,4,41,39,41,39,2013-05-06/2013-05-06
Wsb2,Wsb2<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,2,2,41,39,41,39,2013-09-05/2013-09-05
1110059G10Rik,1110059G10Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-08-13/2013-08-13
1500011B03Rik,1500011B03Rik<tm2(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2012-02-17/2012-02-17
1700008O03Rik,1700008O03Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2013-05-30/2013-05-30
1700123O20Rik,1700123O20Rik<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2014-04-28/2014-04-28
3300002A11Rik,3300002A11Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,3,1,54,44,452,454,2013-11-27/2013-11-27
4921536K21Rik,4921536K21Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,5,3,54,44,452,454,2013-07-11/2013-08-07
4930449E01Rik,4930449E01Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-05-31/2013-05-31
4930591A17Rik,4930591A17Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2013-04-25/2013-04-25
4933402N03Rik,4933402N03Rik<tm2a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-09-03/2013-09-03
A430005L14Rik,A430005L14Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,7,54,44,452,454,2013-09-16/2013-10-29
A830019P07Rik,A830019P07Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,3,1,54,44,452,454,2012-11-27/2013-01-31
Abca4,Abca4<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,1,3,54,44,452,454,2012-06-13/2012-07-02
Abcb6,Abcb6<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-07-18/2013-07-25
Abraxas2,Abraxas2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,5,54,44,452,454,2012-08-08/2012-09-26
Abtb2,Abtb2<tm1a(KOMP)Wtsi>,homozygote,WTSI,2,3,54,44,452,454,2013-08-20/2013-10-28
Acaa1a,Acaa1a<tm1a(KOMP)Wtsi>,homozygote,WTSI,1,3,54,44,452,454,2013-03-07/2013-07-25
Acer1,Acer1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2014-03-19/2014-03-19
Acot5,Acot5<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2013-08-05/2013-08-05
Acsl4,Acsl4<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,3,0,8,3,29,25,2012-08-22/2012-10-02
Actn4,Actn4<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,1,3,54,44,452,454,2012-03-14/2012-03-14
Actr6,Actr6<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2012-05-21/2012-05-21
Adap1,Adap1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,1,3,54,44,452,454,2013-09-02/2013-11-25
Adcy2,Adcy2<tm1a(KOMP)Wtsi>,homozygote,WTSI,2,2,54,44,452,454,2013-11-04/2013-11-04
Adgrb1,Adgrb1<tm2a(EUCOMM)Wtsi>,heterozygote,WTSI,2,2,54,44,452,454,2014-01-27/2014-01-27
Adgrb1,Adgrb1<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,2,6,54,44,452,454,2013-02-25/2014-03-24
Aff3,Aff3<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2012-02-27/2012-02-27
Aff3,Aff3<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,5,5,54,44,452,454,2012-03-28/2012-12-18
Ago3,Ago3<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-06-13/2013-06-13
Ahcyl1,Ahcyl1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2012-10-29/2013-02-14
Aldh16a1,Aldh16a1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,2,3,54,44,452,454,2012-02-15/2012-03-15
Alg13,Alg13<tm1a(KOMP)Wtsi>,hemizygote,WTSI,0,4,54,44,452,454,2012-05-23/2012-07-10
Alg13,Alg13<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2012-03-21/2012-03-21
Amz2,Amz2<tm1e(KOMP)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2014-04-07/2014-04-07
Ankrd9,Ankrd9<tm1(KOMP)Wtsi>,homozygote,WTSI,1,7,54,44,452,454,2013-09-11/2013-09-24
Anks1b,Anks1b<tm1a(KOMP)Wtsi>,homozygote,WTSI,1,3,54,44,452,454,2013-08-27/2013-08-27
Apol7a,Apol7a<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2012-07-11/2012-08-14
Apool,Apool<tm1a(KOMP)Wtsi>,hemizygote,WTSI,0,4,54,44,452,454,2012-10-30/2012-10-30
Apool,Apool<tm1a(KOMP)Wtsi>,homozygote,WTSI,3,0,54,44,452,454,2012-10-25/2012-10-30
Arhgap22,Arhgap22<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2014-01-08/2014-01-08
Arhgef38,Arhgef38<tm1a(KOMP)Wtsi>,homozygote,WTSI,1,3,54,44,452,454,2013-08-13/2013-08-13
Arhgef7,Arhgef7<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2012-05-10/2012-05-10
Arpc3,Arpc3<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2012-10-16/2012-10-16
Arsg,Arsg<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,7,54,44,452,454,2012-08-22/2012-10-11
Art4,Art4<tm1a(KOMP)Wtsi>,homozygote,WTSI,2,2,54,44,452,454,2013-10-24/2014-03-19
Arvcf,Arvcf<tm1e(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2012-06-12/2012-06-12
Aspm,Aspm<tm1a(KOMP)Wtsi>,homozygote,WTSI,5,1,54,44,452,454,2012-10-29/2013-01-29
Atp8b2,Atp8b2<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,4,54,44,452,454,2013-09-16/2013-11-13
B9d2,B9d2<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2012-09-25/2012-09-25
Bpifb5,Bpifb5<tm2a(KOMP)Wtsi>,homozygote,WTSI,3,1,54,44,452,454,2013-10-10/2013-10-10
Calcoco2,Calcoco2<tm1(KOMP)Wtsi>,homozygote,WTSI,3,1,54,44,452,454,2012-02-22/2012-05-09
Cand2,Cand2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,1,5,54,44,452,454,2012-07-16/2012-08-07
Casp12,Casp12<tm1a(KOMP)Wtsi>,homozygote,WTSI,3,3,54,44,452,454,2012-06-25/2012-12-18
