gene_symbol,allele_symbol,zygosity,phenotyping_center,genetic_background,equipment_manufacturer,equipment_model,pipeline_name,n_mutants,n_mutants_complete,n_controls_matched,n_controls_matched_complete,n_controls_matched_abr001,n_controls_matched_abr001_complete
1110059G10Rik,1110059G10Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
1500011B03Rik,1500011B03Rik<tm2(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
1700008O03Rik,1700008O03Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
1700029H14Rik,1700029H14Rik<tm2b(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
1700034J05Rik,1700034J05Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
1700067K01Rik,1700067K01Rik<tm2a(KOMP)Wtsi>,heterozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
1700123O20Rik,1700123O20Rik<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
2610318N02Rik,2610318N02Rik<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
3300002A11Rik,3300002A11Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
4921536K21Rik,4921536K21Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,8,8,906,904,906,904
4930404H24Rik,4930404H24Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,5,5,906,904,906,904
4930449E01Rik,4930449E01Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
4930590J08Rik,4930590J08Rik<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
4930591A17Rik,4930591A17Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
4931429L15Rik,4931429L15Rik<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
4933402N03Rik,4933402N03Rik<tm2a(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
4933434E20Rik,4933434E20Rik<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,9,9,906,904,906,904
A430005L14Rik,A430005L14Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,7,7,906,904,906,904
A830019P07Rik,A830019P07Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
A930004D18Rik,A930004D18Rik<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,3,3,906,904,906,904
Abca4,Abca4<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Abcb6,Abcb6<tm1a(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Abhd14a,Abhd14a<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Abhd17a,Abhd17a<tm1a(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,8,8,906,904,906,904
Abraxas2,Abraxas2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,5,5,906,904,906,904
Abtb2,Abtb2<tm1a(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,5,5,906,904,906,904
