gene_symbol,allele_symbol,zygosity,phenotyping_center,n_mut_female,n_mut_male,n_ctrl_female,n_ctrl_male,centre_bg_pool_female,centre_bg_pool_male,mutant_test_period,shortage_mechanism
Tmem237,Tmem237<tm1b(EUCOMM)Hmgu>,heterozygote,CCP-IMG,7,7,22,19,1767,1720,2016-11-22/2016-11-23,Stimulus/equipment config
Eci2,Eci2<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,4,4,0,0,950,959,2016-05-18/2016-05-19,Genetic Background control-matching
Ndufs1,Ndufs1<tm1b(EUCOMM)Hmgu>,heterozygote,HMGU,4,3,8,8,444,436,2015-01-14/2015-04-29,Stimulus/equipment config
Prkd2,Prkd2<em1(IMPC)Hmgu>,homozygote,HMGU,2,0,0,0,950,959,2018-04-04/2018-04-04,Stimulus/equipment config
Zbtb24,Zbtb24<tm1b(EUCOMM)Hmgu>,heterozygote,HMGU,4,4,8,8,444,436,2015-01-14/2015-01-15,Stimulus/equipment config
Zfp119a,Zfp119a<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,0,2,8,8,444,436,2015-01-07/2015-01-07,Stimulus/equipment config
Igfl3,Igfl3<tm1b(EUCOMM)Hmgu>,homozygote,JAX,3,2,0,0,0,0,2016-10-20/2017-05-22,Genetic Background control-matching
Sema6a,Sema6a<tm2e.1(EUCOMM)Hmgu>,heterozygote,JAX,4,4,0,0,0,0,2016-12-21/2017-01-05,Genetic Background control-matching
Hdac11,Hdac11<em1(IMPC)Kmpc>,homozygote,KMPC,2,2,12,13,211,209,2016-11-22/2016-11-22,Stimulus/equipment config
Krt35,Krt35<em1(IMPC)Kmpc>,homozygote,KMPC,2,3,12,13,211,209,2017-06-27/2017-06-27,Stimulus/equipment config
Lgr5,Lgr5<em1(IMPC)Kmpc>,heterozygote,KMPC,4,3,12,13,211,209,2016-07-04/2016-07-05,Stimulus/equipment config
Mir100,Mir100<em1(IMPC)Kmpc>,homozygote,KMPC,3,2,12,13,211,209,2017-07-06/2017-07-06,Stimulus/equipment config
Romo1,Romo1<em1(IMPC)Kmpc>,heterozygote,KMPC,2,2,12,13,211,209,2016-11-07/2016-11-08,Stimulus/equipment config
Tm4sf5,Tm4sf5<em1(IMPC)Kmpc>,homozygote,KMPC,3,2,12,13,211,209,2017-07-20/2017-07-20,Stimulus/equipment config
Usp16,Usp16<tm1b(EUCOMM)Hmgu>,heterozygote,MARC,3,1,0,0,64,83,2014-12-19/2014-12-19,Stimulus/equipment config
Acadvl,Acadvl<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-06-01/2021-07-01,Stimulus/equipment config
Acta2,Acta2<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-06-01/2021-06-01,Stimulus/equipment config
Agbl2,Agbl2<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-09-13/2021-09-16,Stimulus/equipment config
Bcl2l11,Bcl2l11<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-04-26/2021-04-26,Stimulus/equipment config
C1d,C1d<em1(IMPC)H>,heterozygote,MRC Harwell,2,2,34,36,442,434,2021-10-25/2021-10-25,Stimulus/equipment config
C1ql3,C1ql3<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-04-19/2021-04-19,Stimulus/equipment config
C5ar2,C5ar2<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-12-13/2021-12-13,Stimulus/equipment config
Ccr9,Ccr9<em1(IMPC)H>,homozygote,MRC Harwell,2,1,34,36,442,434,2020-09-29/2020-09-29,Stimulus/equipment config
Cd1d1,Cd1d1<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-09-27/2021-09-28,Stimulus/equipment config
Cd79a,Cd79a<em1(IMPC)H>,homozygote,MRC Harwell,2,1,34,36,442,434,2021-08-09/2021-09-27,Stimulus/equipment config
Cldn9,Cldn9<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-09-20/2021-09-21,Stimulus/equipment config
Csf1r,Csf1r<em3(IMPC)H>,heterozygote,MRC Harwell,2,2,34,36,442,434,2021-05-25/2021-05-25,Stimulus/equipment config
Csf3,Csf3<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-11-22/2021-11-23,Stimulus/equipment config
Ctsz,Ctsz<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-08-31/2021-09-06,Stimulus/equipment config
Cxcl14,Cxcl14<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-03-29/2021-03-30,Stimulus/equipment config
Dse,Dse<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,1,1,34,36,442,434,2019-05-13/2019-05-15,Stimulus/equipment config
Fbn1,Fbn1<em1(IMPC)H>,heterozygote,MRC Harwell,2,2,34,36,442,434,2021-08-02/2021-08-03,Stimulus/equipment config
Fcrl2,Fcrl2<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-09-07/2021-09-07,Stimulus/equipment config
Fgf17,Fgf17<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2022-01-04/2022-01-04,Stimulus/equipment config
