specimen_id,age_in_days,age_in_weeks,allelic_composition,biological_sample_group,colony_id,datasource_name,date_of_birth,date_of_experiment,developmental_stage_acc,developmental_stage_name,experiment_id,experiment_source_id,external_sample_id,genetic_background,life_stage_acc,life_stage_name,litter_id,observation_type,parameter_stable_id,phenotyping_center,pipeline_name,pipeline_stable_id,procedure_group,procedure_name,procedure_stable_id,production_center,project_name,sex,specimen_id,strain_accession_id,strain_name,weight,weight_date,weight_days_old,weight_parameter_stable_id,zygosity,id,_version_,metadata_Anesthetic administration route,metadata_Anesthetic agent 1,metadata_Anesthetic agent 1 dosage,metadata_Anesthetic agent 2,metadata_Anesthetic agent 2 dosage,metadata_Equipment ID,metadata_Equipment manufacturer,metadata_Equipment model,metadata_Experimenter ID,metadata_Number averages,metadata_Recording Environment,metadata_Repetition Rate,metadata_Software,metadata_Time of injection,metadata_Tone Pip Duration,metadata_Tone Pip rise/fall,30kHz-evoked ABR Threshold,Body weight,6kHz-evoked ABR Threshold,24kHz-evoked ABR Threshold,12kHz-evoked ABR Threshold,18kHz-evoked ABR Threshold,allele_accession_id,allele_symbol,gene_accession_id,gene_symbol,metadata_Date equipment last calibrated,metadata_Extension of stimulus levels,metadata_Range of stimulus levels used - 12kHz,metadata_Range of stimulus levels used - 18kHz,metadata_Range of stimulus levels used - 24kHz,metadata_Range of stimulus levels used - 30kHz,metadata_Range of stimulus levels used - 6kHz,metadata_Range of stimulus levels used - Click,metadata_Range of test stimuli used,metadata_Stimulus level step size,Click-evoked ABR threshold,metadata_ProductionCenter,procedure_sequence_id,metadata_Date of Test,category
0ccb4bed319e08605e46874a49e464c1,98,14,Mettl5<em1(IMPC)Hmgu>/Mettl5<+>,experimental,HMGU-Mettl5-Crispr1-AAAQ-1,IMPC,2018-12-25T00:00:00Z,2019-04-02T00:00:00Z,EFO:0002948,postnatal,e3bf9dcaa83f7d95f7f3da338dadacfb,172_64708_30474309,30474309,involves: C57BL/6NCrl,IMPCLS:0005,Early adult,75546,unidimensional,IMPC_ABR_012_001,HMGU,German Mouse Clinic,HMGU_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,HMGU,Helmholtz GMC,female,0ccb4bed319e08605e46874a49e464c1,MGI:2683688,C57BL/6NCrl,21.9,2019-04-02T00:00:00Z,98,IMPC_DXA_001_001,heterozygote,09dce3ba-a881-4eb2-b8c1-191e162d6823,1.81687E+18,Intraperitoneal,Ketamine,0.1,Xylazine,0.01,1025,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",326,256,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Sanger bespoke averager software,13:42:29,5,1,80,21.9,50,60,40,35,MGI:6273953,Mettl5<em1(IMPC)Hmgu>,MGI:1922672,Mettl5,02/04/2019,,0-85,0-85,0-85,20-85,20-85,0-85,Click,5,40,,1,,
c33e95e200ad3a9ef584183b80582916,100,14,Mettl5<em1(IMPC)Hmgu>/Mettl5<+>,experimental,HMGU-Mettl5-Crispr1-AAAQ-1,IMPC,2018-12-25T00:00:00Z,2019-04-04T00:00:00Z,EFO:0002948,postnatal,0d534551b9da4ad21e0885f967a3ee9c,172_64708_30474315,30474315,involves: C57BL/6NCrl,IMPCLS:0005,Early adult,75549,unidimensional,IMPC_ABR_008_001,HMGU,German Mouse Clinic,HMGU_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,HMGU,Helmholtz GMC,female,c33e95e200ad3a9ef584183b80582916,MGI:2683688,C57BL/6NCrl,23.9,2019-04-04T00:00:00Z,100,IMPC_ABR_001_001,heterozygote,6e52aee6-f46b-44cb-ba46-4b325879737c,1.81687E+18,Intraperitoneal,Ketamine,0.1,Xylazine,0.01,1025,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",326,256,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Sanger bespoke averager software,8:28:40,5,1,65,23.9,45,50,35,35,MGI:6273953,Mettl5<em1(IMPC)Hmgu>,MGI:1922672,Mettl5,04/04/2019,,0-85,0-85,0-85,20-85,20-85,0-85,Click,5,35,,1,,
d1abce23ad65bc7dc05cad7e8387f493,96,13,Mettl5<em1(IMPC)Hmgu>/Mettl5<+>,experimental,HMGU-Mettl5-Crispr1-AAAQ-1,IMPC,2018-12-27T00:00:00Z,2019-04-02T00:00:00Z,EFO:0002948,postnatal,37c88d1d15b7c4f640179e6a565a99b1,172_64708_30474377,30474377,involves: C57BL/6NCrl,IMPCLS:0005,Early adult,75551,unidimensional,IMPC_ABR_008_001,HMGU,German Mouse Clinic,HMGU_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,HMGU,Helmholtz GMC,male,d1abce23ad65bc7dc05cad7e8387f493,MGI:2683688,C57BL/6NCrl,25.2,2019-04-02T00:00:00Z,96,IMPC_ABR_001_001,heterozygote,41bee7ee-92f3-4298-b5bd-1bfb2c012a7f,1.81687E+18,Intraperitoneal,Ketamine,0.1,Xylazine,0.01,1025,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",326,256,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Sanger bespoke averager software,8:52:19,5,1,65,25.2,55,45,40,40,MGI:6273953,Mettl5<em1(IMPC)Hmgu>,MGI:1922672,Mettl5,02/04/2019,,0-85,0-85,0-85,20-85,20-85,0-85,Click,5,35,,1,,
f36a0571a874d08b9a9c94db598f776b,99,14,Mettl5<em1(IMPC)Hmgu>/Mettl5<em1(IMPC)Hmgu>,experimental,HMGU-Mettl5-Crispr1-AAAQ-1,IMPC,2018-12-26T00:00:00Z,2019-04-04T00:00:00Z,EFO:0002948,postnatal,7ad8603b3f3b29e1232d646d829fdd4d,172_64708_30474345,30474345,involves: C57BL/6NCrl,IMPCLS:0005,Early adult,75544,unidimensional,IMPC_ABR_001_001,HMGU,German Mouse Clinic,HMGU_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,HMGU,Helmholtz GMC,female,f36a0571a874d08b9a9c94db598f776b,MGI:2683688,C57BL/6NCrl,,,,,homozygote,00a12b4e-b3b3-4ba1-9c3d-0985de5176da,1.81687E+18,Intraperitoneal,Ketamine,0.1,Xylazine,0.01,1025,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",326,256,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Sanger bespoke averager software,9:22:45,5,1,75,18.3,55,60,55,50,MGI:6273953,Mettl5<em1(IMPC)Hmgu>,MGI:1922672,Mettl5,04/04/2019,,0-85,0-85,0-85,20-85,20-85,0-85,Click,5,45,,1,,
dd396b63f8c48453d957a4ff52a78e22,98,14,Mettl5<em1(IMPC)Hmgu>/Mettl5<+>,experimental,HMGU-Mettl5-Crispr1-AAAQ-1,IMPC,2018-12-25T00:00:00Z,2019-04-02T00:00:00Z,EFO:0002948,postnatal,5e5bb93ac0fe3020ee60f776fa8f2398,172_64708_30474313,30474313,involves: C57BL/6NCrl,IMPCLS:0005,Early adult,75549,unidimensional,IMPC_ABR_010_001,HMGU,German Mouse Clinic,HMGU_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,HMGU,Helmholtz GMC,male,dd396b63f8c48453d957a4ff52a78e22,MGI:2683688,C57BL/6NCrl,27.6,2019-04-02T00:00:00Z,98,IMPC_DXA_001_001,heterozygote,306b0270-38c8-4b59-a4b3-b5ed3e0e12b6,1.81687E+18,Intraperitoneal,Ketamine,0.1,Xylazine,0.01,1025,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",326,256,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Sanger bespoke averager software,10:35:06,5,1,75,27.6,55,60,45,45,MGI:6273953,Mettl5<em1(IMPC)Hmgu>,MGI:1922672,Mettl5,02/04/2019,,0-85,0-85,0-85,20-85,20-85,0-85,Click,5,40,,1,,
83189c0cff88be1bf3c7c8627a208da5,95,13,Mettl5<em1(IMPC)Hmgu>/Mettl5<em1(IMPC)Hmgu>,experimental,HMGU-Mettl5-Crispr1-AAAQ-1,IMPC,2018-11-02T00:00:00Z,2019-02-05T00:00:00Z,EFO:0002948,postnatal,f881bf6bb4c9cb2514098156972b0688,172_64023_30468198,30468198,involves: C57BL/6NCrl,IMPCLS:0005,Early adult,74727,unidimensional,IMPC_ABR_012_001,HMGU,German Mouse Clinic,HMGU_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,HMGU,Helmholtz GMC,male,83189c0cff88be1bf3c7c8627a208da5,MGI:2683688,C57BL/6NCrl,23,2019-02-05T00:00:00Z,95,IMPC_DXA_001_001,homozygote,7f990e29-64e5-4c4e-8be7-2054bb276fe9,1.81687E+18,Intraperitoneal,Ketamine,0.1,Xylazine,0.01,1025,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",160,256,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Sanger bespoke averager software,12:17:48,5,1,70,23,55,55,40,50,MGI:6273953,Mettl5<em1(IMPC)Hmgu>,MGI:1922672,Mettl5,05/02/2019,,0-85,0-85,0-85,20-85,20-85,0-85,Click,5,45,,1,,
10c858162a78f9ee10a18bda11176437,96,13,Mettl5<em1(IMPC)Hmgu>/Mettl5<em1(IMPC)Hmgu>,experimental,HMGU-Mettl5-Crispr1-AAAQ-1,IMPC,2018-12-26T00:00:00Z,2019-04-01T00:00:00Z,EFO:0002948,postnatal,0db5c9f785c154b11279eb0111c7bc9c,172_64708_30474339,30474339,involves: C57BL/6NCrl,IMPCLS:0005,Early adult,75544,unidimensional,IMPC_ABR_001_001,HMGU,German Mouse Clinic,HMGU_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,HMGU,Helmholtz GMC,male,10c858162a78f9ee10a18bda11176437,MGI:2683688,C57BL/6NCrl,,,,,homozygote,bff495f6-185c-4f70-8c15-7b40007778c1,1.81687E+18,Intraperitoneal,Ketamine,0.1,Xylazine,0.01,1025,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",326,256,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Sanger bespoke averager software,12:51:43,5,1,70,24.1,60,60,40,40,MGI:6273953,Mettl5<em1(IMPC)Hmgu>,MGI:1922672,Mettl5,01/04/2019,,0-85,0-85,0-85,20-85,20-85,0-85,Click,5,45,,1,,
4f487b0eaab07f986b9b74fa5a428df7,99,14,Mettl5<em1(IMPC)Hmgu>/Mettl5<em1(IMPC)Hmgu>,experimental,HMGU-Mettl5-Crispr1-AAAQ-1,IMPC,2018-12-26T00:00:00Z,2019-04-04T00:00:00Z,EFO:0002948,postnatal,31c27103e90c180b8983fd56a7f6a8bf,172_64708_30474365,30474365,involves: C57BL/6NCrl,IMPCLS:0005,Early adult,75550,unidimensional,IMPC_ABR_008_001,HMGU,German Mouse Clinic,HMGU_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,HMGU,Helmholtz GMC,female,4f487b0eaab07f986b9b74fa5a428df7,MGI:2683688,C57BL/6NCrl,17,2019-04-04T00:00:00Z,99,IMPC_ABR_001_001,homozygote,e655107a-843d-4b3b-9a6a-82f94d00fd03,1.81687E+18,Intraperitoneal,Ketamine,0.1,Xylazine,0.01,1025,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",326,256,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Sanger bespoke averager software,13:19:40,5,1,80,17,55,60,40,40,MGI:6273953,Mettl5<em1(IMPC)Hmgu>,MGI:1922672,Mettl5,04/04/2019,,0-85,0-85,0-85,20-85,20-85,0-85,Click,5,45,,1,,
dc86d23598d0aa7fd97fd298702f126b,98,14,Mettl5<em1(IMPC)Hmgu>/Mettl5<+>,experimental,HMGU-Mettl5-Crispr1-AAAQ-1,IMPC,2018-12-25T00:00:00Z,2019-04-02T00:00:00Z,EFO:0002948,postnatal,18ad91f2e73953f58ac86ca36d910ccc,172_64708_30474199,30474199,involves: C57BL/6NCrl,IMPCLS:0005,Early adult,75540,unidimensional,IMPC_ABR_004_001,HMGU,German Mouse Clinic,HMGU_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,HMGU,Helmholtz GMC,male,dc86d23598d0aa7fd97fd298702f126b,MGI:2683688,C57BL/6NCrl,29.3,2019-04-02T00:00:00Z,98,IMPC_DXA_001_001,heterozygote,06bb16f7-335e-4d07-8d5d-3e207a7d77fc,1.81687E+18,Intraperitoneal,Ketamine,0.1,Xylazine,0.01,1025,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",326,256,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Sanger bespoke averager software,13:14:17,5,1,75,29.3,65,60,40,40,MGI:6273953,Mettl5<em1(IMPC)Hmgu>,MGI:1922672,Mettl5,02/04/2019,,0-85,0-85,0-85,20-85,20-85,0-85,Click,5,35,,1,,
cba34cf44e0b25963fc20749fcc302b6,97,13,Mettl5<em1(IMPC)Hmgu>/Mettl5<em1(IMPC)Hmgu>,experimental,HMGU-Mettl5-Crispr1-AAAQ-1,IMPC,2018-12-25T00:00:00Z,2019-04-01T00:00:00Z,EFO:0002948,postnatal,72f47683df1ac5fe6a7369b9bbb94af2,172_64708_30474201,30474201,involves: C57BL/6NCrl,IMPCLS:0005,Early adult,75540,unidimensional,IMPC_ABR_006_001,HMGU,German Mouse Clinic,HMGU_001,IMPC_ABR,Auditory Brain Stem Response,IMPC_ABR_002,HMGU,Helmholtz GMC,male,cba34cf44e0b25963fc20749fcc302b6,MGI:2683688,C57BL/6NCrl,22.7,2019-04-01T00:00:00Z,97,IMPC_ABR_001_001,homozygote,7b5423c6-9054-4bc8-aae4-d929bb40264c,1.81687E+18,Intraperitoneal,Ketamine,0.1,Xylazine,0.01,1025,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",326,256,In sound attenuating booth on thermo-statically controlled heating pad (@ 37°C),42.6,Sanger bespoke averager software,8:59:42,5,1,70,22.7,80,60,55,55,MGI:6273953,Mettl5<em1(IMPC)Hmgu>,MGI:1922672,Mettl5,01/04/2019,,0-85,0-85,0-85,20-85,20-85,0-85,Click,5,55,,1,,
