gene_symbol,allele_symbol,zygosity,phenotyping_center,n_mutants,n_males,n_females,genetic_background,pipeline_name,n_controls
Cap2,Cap2<tm1b(EUCOMM)Wtsi>,heterozygote,HMGU,6,2,4,involves: C57BL/6NTac,German Mouse Clinic,80
Car4,Car4<tm1b(EUCOMM)Wtsi>,heterozygote,HMGU,8,4,4,involves: C57BL/6NTac,German Mouse Clinic,80
Cdkal1,Cdkal1<tm2b(EUCOMM)Wtsi>,homozygote,HMGU,5,3,2,involves: C57BL/6NTac,German Mouse Clinic,80
Dpp9,Dpp9<tm1b(EUCOMM)Hmgu>,heterozygote,HMGU,8,4,4,involves: C57BL/6NTac,German Mouse Clinic,80
Eef2kmt,Eef2kmt<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,8,4,4,involves: C57BL/6NTac,German Mouse Clinic,80
Efna5,Efna5<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,8,4,4,involves: C57BL/6NTac,German Mouse Clinic,80
Hsf2bp,Hsf2bp<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,5,3,2,involves: C57BL/6NTac,German Mouse Clinic,80
Klkb1,Klkb1<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,8,4,4,involves: C57BL/6NTac,German Mouse Clinic,80
Mybbp1a,Mybbp1a<tm1b(EUCOMM)Hmgu>,heterozygote,HMGU,6,2,4,involves: C57BL/6NTac,German Mouse Clinic,80
Ndfip2,Ndfip2<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8,4,4,involves: C57BL/6NTac,German Mouse Clinic,80
P2rx7,P2rx7<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,8,4,4,involves: C57BL/6NTac,German Mouse Clinic,80
Pla2g10,Pla2g10<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,7,3,4,involves: C57BL/6NTac,German Mouse Clinic,80
Rxfp2,Rxfp2<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,8,4,4,involves: C57BL/6NTac,German Mouse Clinic,80
Wsb2,Wsb2<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,4,2,2,involves: C57BL/6NTac,German Mouse Clinic,80
Adh5,Adh5<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Agl,Agl<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Agl,Agl<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Ap3s2,Ap3s2<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Atg3,Atg3<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Barx2,Barx2<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Boc,Boc<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Bpifb3,Bpifb3<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Btrc,Btrc<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
C1rl,C1rl<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Clstn1,Clstn1<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Clu,Clu<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Col4a3,Col4a3<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Col4a5,Col4a5<tm1b(EUCOMM)Wtsi>,hemizygote,MRC Harwell,3,3,0,involves: C57BL/6NTac,Harwell,400
Col4a5,Col4a5<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,2,0,2,involves: C57BL/6NTac,Harwell,400
Creld2,Creld2<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Cttn,Cttn<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Cyp2e1,Cyp2e1<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Dapk1,Dapk1<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Eaf1,Eaf1<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Elmod1,Elmod1<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Esyt3,Esyt3<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Fabp1,Fabp1<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Fam151b,Fam151b<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
