gene_symbol,allele_symbol,zygosity,phenotyping_center,count
1700123O20Rik,1700123O20Rik<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4
Apbb1ip,Apbb1ip<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,15
Armc6,Armc6<em1(IMPC)J>,homozygote,JAX,6
Bbs7,Bbs7<tm1b(EUCOMM)Wtsi>,heterozygote,JAX,7
Cdk14,Cdk14<tm1a(KOMP)Wtsi>,homozygote,WTSI,8
Crx,Crx<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,16
Dact3,Dact3<tm1b(KOMP)Wtsi>,homozygote,WTSI,4
Dennd2b,Dennd2b<em1(IMPC)J>,homozygote,JAX,8
Dnaaf4,Dnaaf4<tm1b(EUCOMM)Hmgu>,heterozygote,JAX,8
Eef1a2,Eef1a2<em1(IMPC)Hmgu>,heterozygote,HMGU,8
Emilin2,Emilin2<em1(IMPC)J>,homozygote,JAX,8
Fis1,Fis1<tm1b(EUCOMM)Hmgu>,heterozygote,HMGU,8
Ghr,Ghr<tm1b(KOMP)Wtsi>,heterozygote,JAX,6
Gprc5b,Gprc5b<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4
Lin52,Lin52<em1(IMPC)J>,heterozygote,JAX,8
Plppr5,Plppr5<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,14
Retnlg,Retnlg<em1(IMPC)J>,homozygote,JAX,8
Ribc2,Ribc2<em1(IMPC)J>,homozygote,JAX,8
Shc4,Shc4<em1(IMPC)J>,homozygote,JAX,8
Taco1,Taco1<em1(IMPC)J>,homozygote,JAX,8
Tbc1d30,Tbc1d30<em1(IMPC)J>,homozygote,JAX,7
Trub2,Trub2<tm2a(EUCOMM)Wtsi>,heterozygote,WTSI,4
Vps72,Vps72<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,6
