gene_symbol,allele_symbol,zygosity,phenotyping_center,count
0610040J01Rik,0610040J01Rik<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,16
1700008O03Rik,1700008O03Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,4
1700008P02Rik,1700008P02Rik<em1(IMPC)J>,homozygote,JAX,8
1700069L16Rik,1700069L16Rik<em1(IMPC)Mbp>,homozygote,UC Davis,4
2510002D24Rik,2510002D24Rik<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,5
2610008E11Rik,2610008E11Rik<em1(IMPC)Mbp>,homozygote,UC Davis,4
4921509C19Rik,4921509C19Rik<tm1.1(KOMP)Vlcg>,homozygote,JAX,8
4931429L15Rik,4931429L15Rik<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4
4933402J07Rik,4933402J07Rik<em1(IMPC)J>,homozygote,JAX,8
4933430I17Rik,4933430I17Rik<tm1a(EUCOMM)Wtsi>,homozygote,ICS,4
A1cf,A1cf<tm1b(EUCOMM)Hmgu>,homozygote,JAX,8
A2ml1,A2ml1<em1(IMPC)Tcp>,heterozygote,TCP,4
A2ml1,A2ml1<em1(IMPC)Tcp>,homozygote,TCP,3
AW209491,AW209491<em1(IMPC)Mbp>,homozygote,UC Davis,4
Aacs,Aacs<em1(IMPC)J>,homozygote,JAX,8
Aadac,Aadac<em1(IMPC)Mbp>,homozygote,UC Davis,4
Aadacl4,Aadacl4<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,16
Aasdhppt,Aasdhppt<tm1.1(KOMP)Vlcg>,heterozygote,JAX,8
Abca16,Abca16<em1(IMPC)J>,homozygote,JAX,8
Abca2,Abca2<em1(IMPC)J>,homozygote,JAX,8
Abca6,Abca6<tm2b(KOMP)Wtsi>,homozygote,TCP,4
Abca7,Abca7<tm2b(EUCOMM)Hmgu>,homozygote,JAX,8
Abca8b,Abca8b<tm1b(EUCOMM)Wtsi>,homozygote,UC Davis,6
Abcd3,Abcd3<em1(IMPC)J>,homozygote,JAX,8
Abcg2,Abcg2<tm1.1(KOMP)Vlcg>,heterozygote,JAX,8
Abcg2,Abcg2<tm1.1(KOMP)Vlcg>,homozygote,JAX,8
Abhd12b,Abhd12b<em1(IMPC)J>,homozygote,JAX,8
Abhd13,Abhd13<em1(IMPC)Mbp>,homozygote,UC Davis,4
Abhd14b,Abhd14b<em1(IMPC)J>,homozygote,JAX,8
Abhd3,Abhd3<em1(IMPC)Marc>,homozygote,MARC,6
Abhd6,Abhd6<em1(IMPC)Mbp>,homozygote,UC Davis,4
Abi3,Abi3<tm1.1(KOMP)Vlcg>,homozygote,JAX,8
Abi3bp,Abi3bp<tm1e.1(KOMP)Mbp>,homozygote,UC Davis,4
Abraxas2,Abraxas2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,5
Abtb1,Abtb1<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,16
Abtb2,Abtb2<tm1a(KOMP)Wtsi>,homozygote,WTSI,5
Ace,Ace<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4
Acmsd,Acmsd<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,6
Aco1,Aco1<em1(IMPC)J>,homozygote,JAX,9
Aco2,Aco2<em1(IMPC)J>,heterozygote,JAX,8
Acot5,Acot5<tm1a(KOMP)Wtsi>,homozygote,WTSI,4
Acsf2,Acsf2<tm1.1(KOMP)Vlcg>,homozygote,JAX,8
Acsm2,Acsm2<tm1.1(KOMP)Vlcg>,homozygote,JAX,8
Actg2,Actg2<em1(IMPC)J>,homozygote,JAX,8
Acy1,Acy1<em1(IMPC)J>,homozygote,JAX,7
Adam30,Adam30<em1(IMPC)Hmgu>,homozygote,HMGU,8
Adam33,Adam33<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8
Adamtsl5,Adamtsl5<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4
Adcyap1r1,Adcyap1r1<tm1e.1(KOMP)Wtsi>,heterozygote,RBRC,4
Adgb,Adgb<em1(IMPC)Mbp>,homozygote,UC Davis,3
Adgrb1,Adgrb1<tm2a(EUCOMM)Wtsi>,heterozygote,WTSI,4
Adgrb1,Adgrb1<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,8
Adgre4,Adgre4<tm1b(EUCOMM)Hmgu>,homozygote,JAX,8
Adgrg4,Adgrg4<em1(IMPC)J>,hemizygote,JAX,4
Adgrg4,Adgrg4<em1(IMPC)J>,homozygote,JAX,4
Adipor1,Adipor1<tm1b(EUCOMM)Hmgu>,homozygote,ICS,6
Adora1,Adora1<tm1b(KOMP)Wtsi>,homozygote,JAX,7
Adprm,Adprm<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8
Agbl2,Agbl2<em1(IMPC)H>,homozygote,MRC Harwell,4
Agfg2,Agfg2<em1(IMPC)J>,homozygote,JAX,7
Ahsg,Ahsg<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Aif1,Aif1<tm1.1(KOMP)Wtsi>,homozygote,HMGU,8
Aimp1,Aimp1<em1(IMPC)Tcp>,homozygote,TCP,4
Aire,Aire<tm1.1(NCOM)Mfgc>,heterozygote,TCP,4
Aire,Aire<tm1.1(NCOM)Mfgc>,homozygote,TCP,3
Ajap1,Ajap1<tm1b(EUCOMM)Hmgu>,homozygote,JAX,9
Ak7,Ak7<em1(IMPC)Ccpcz>,heterozygote,CCP-IMG,16
Akr1c12,Akr1c12<tm1b(KOMP)Wtsi>,homozygote,MARC,4
Aldh1b1,Aldh1b1<tm2a(EUCOMM)Wtsi>,heterozygote,WTSI,3
Aldh1l1,Aldh1l1<em1(IMPC)Kmpc>,homozygote,KMPC,4
Aldh1l1,Aldh1l1<tm1b(KOMP)Wtsi>,homozygote,HMGU,8
Alg3,Alg3<em1(IMPC)J>,heterozygote,JAX,8
