gene_symbol,allele_symbol,zygosity,phenotyping_center,count
0610010K14Rik,0610010K14Rik<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4
1700020N01Rik,1700020N01Rik<em1(IMPC)J>,homozygote,JAX,7
Aanat,Aanat<em1(IMPC)Krb>,homozygote,KMPC,4
Abca14,Abca14<tm1.1(NCOM)Mfgc>,homozygote,TCP,4
Abca17,Abca17<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4
Abhd11,Abhd11<em1(IMPC)Mbp>,homozygote,UC Davis,4
Abhd14a,Abhd14a<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,4
Abhd17c,Abhd17c<em1(IMPC)Mbp>,homozygote,UC Davis,4
Abi2,Abi2<tm1b(EUCOMM)Wtsi>,homozygote,TCP,4
Abo,Abo<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Acot1,Acot1<em1(IMPC)Mbp>,homozygote,UC Davis,4
Actr3b,Actr3b<em1(IMPC)J>,homozygote,JAX,8
Adamts16,Adamts16<em1(IMPC)H>,homozygote,MRC Harwell,4
Adcy1,Adcy1<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4
Adgrf1,Adgrf1<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,17
Adh4,Adh4<em2(IMPC)Marc>,homozygote,MARC,4
Adipoq,Adipoq<tm1b(KOMP)Wtsi>,homozygote,UC Davis,4
Agap1,Agap1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,9
Ahsa2,Ahsa2<tm1b(EUCOMM)Wtsi>,homozygote,ICS,4
Aicda,Aicda<tm1b(EUCOMM)Hmgu>,homozygote,WTSI,4
Akap10,Akap10<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4
Akap13,Akap13<em1(IMPC)Mbp>,homozygote,UC Davis,4
Akr1c14,Akr1c14<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Aldh1a3,Aldh1a3<tm1b(KOMP)Wtsi>,heterozygote,JAX,8
Aldh1b1,Aldh1b1<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,4
Ankrd28,Ankrd28<em1(IMPC)J>,homozygote,JAX,5
Ankrd65,Ankrd65<tm1(KOMP)Wtsi>,homozygote,MARC,4
Ap3s2,Ap3s2<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4
Apbb3,Apbb3<em1(IMPC)Marc>,homozygote,MARC,4
Aprt,Aprt<em1(IMPC)Hmgu>,homozygote,HMGU,3
Arfip1,Arfip1<em1(IMPC)Mbp>,homozygote,UC Davis,4
Arhgap26,Arhgap26<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8
Arhgef12,Arhgef12<tm1b(KOMP)Wtsi>,heterozygote,UC Davis,4
Arl15,Arl15<em1(IMPC)H>,heterozygote,MRC Harwell,3
Asb2,Asb2<tm2b(KOMP)Wtsi>,heterozygote,KMPC,9
Asic4,Asic4<tm1b(KOMP)Mbp>,homozygote,UC Davis,4
Atf3,Atf3<tm2b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4
Atp11b,Atp11b<em1(IMPC)Tcp>,homozygote,TCP,4
Atp13a5,Atp13a5<em1(IMPC)Marc>,homozygote,MARC,4
Atp5mc2,Atp5mc2<tm2b(EUCOMM)Hmgu>,homozygote,HMGU,3
Atp5po,Atp5po<tm1.1(KOMP)Vlcg>,heterozygote,JAX,8
B4galt5,B4galt5<em1(IMPC)Tcp>,heterozygote,TCP,4
B4gat1,B4gat1<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,3
Bcl2l11,Bcl2l11<em1(IMPC)H>,homozygote,MRC Harwell,4
Birc3,Birc3<em1(IMPC)Kmpc>,homozygote,KMPC,4
Bloc1s5,Bloc1s5<em1(IMPC)Tcp>,homozygote,TCP,4
Bnip1,Bnip1<tm2b(KOMP)Wtsi>,heterozygote,MARC,4
Bpifa2,Bpifa2<em1(IMPC)Mbp>,homozygote,UC Davis,4
Bri3bp,Bri3bp<em1(IMPC)Mbp>,homozygote,UC Davis,4
Brix1,Brix1<tm1b(KOMP)Mbp>,heterozygote,MARC,4
Bst2,Bst2<em1(IMPC)Mbp>,homozygote,UC Davis,4
Btc,Btc<em1(IMPC)Mbp>,homozygote,UC Davis,4
Btrc,Btrc<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,4
C1qb,C1qb<tm1.1(KOMP)Vlcg>,homozygote,JAX,8
C2cd4c,C2cd4c<em1(IMPC)Hmgu>,homozygote,HMGU,8
Cacna2d2,Cacna2d2<em1(IMPC)Mbp>,heterozygote,UC Davis,4
Cant1,Cant1<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,3
Cav2,Cav2<em1(IMPC)Kmpc>,homozygote,KMPC,5
Cavin3,Cavin3<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Ccdc40,Ccdc40<em1(IMPC)J>,homozygote,JAX,8
Ccdc85a,Ccdc85a<em1(IMPC)J>,homozygote,JAX,8
Cd79a,Cd79a<em1(IMPC)H>,homozygote,MRC Harwell,3
Cdc7,Cdc7<tm1.1(KOMP)Vlcg>,heterozygote,TCP,4
Cdh26,Cdh26<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Cenph,Cenph<tm1b(EUCOMM)Hmgu>,heterozygote,HMGU,12
Cep162,Cep162<em1(IMPC)Kmpc>,homozygote,KMPC,4
Ces1d,Ces1d<em1(IMPC)Mbp>,homozygote,UC Davis,4
Ces2c,Ces2c<em1(IMPC)J>,homozygote,JAX,8
Cfap45,Cfap45<em1(IMPC)Mhzh>,homozygote,MARC,3
Cfap68,Cfap68<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Chchd10,Chchd10<em1(IMPC)Mbp>,homozygote,UC Davis,4
Chd8,Chd8<em1(IMPC)Mbp>,heterozygote,UC Davis,4
Chek2,Chek2<tm1b(EUCOMM)Hmgu>,homozygote,JAX,8
Ciao2a,Ciao2a<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,4
Cib3,Cib3<em1(IMPC)H>,homozygote,MRC Harwell,4
Cimap1d,Cimap1d<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4
Clca2,Clca2<em1(IMPC)Mbp>,homozygote,UC Davis,4
Clcn6,Clcn6<em1(IMPC)Mbp>,homozygote,UC Davis,4
Cldn3,Cldn3<em1(IMPC)H>,homozygote,MRC Harwell,4
Clec2i,Clec2i<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4
Clec5a,Clec5a<em1(IMPC)Mbp>,homozygote,UC Davis,4
Cmklr2,Cmklr2<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4
Cmtm3,Cmtm3<em1(IMPC)H>,homozygote,MRC Harwell,4
Coq2,Coq2<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4
