gene_symbol,sex_analysis_recommendation,male_sufficient,female_sufficient,max_male_mice,max_female_mice
Kcnh8,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Sun1,Both male and female analysis recommended,True,True,6.0,3.0
Awat2,Insufficient data for sex-specific analysis,False,False,,
Nwd2,Both male and female analysis recommended,True,True,8.0,8.0
Gzf1,Female-only analysis recommended,False,True,2.0,3.0
Mpv17,Both male and female analysis recommended,True,True,3.0,4.0
Klk6,Male-only analysis recommended,True,False,3.0,1.0
Luc7l3,Both male and female analysis recommended,True,True,4.0,4.0
Insyn2b,Both male and female analysis recommended,True,True,4.0,4.0
Asb5,Both male and female analysis recommended,True,True,7.0,7.0
Iqub,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Bysl,Both male and female analysis recommended,True,True,8.0,8.0
6820408C15Rik,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Prss12,Male-only analysis recommended,True,False,7.0,8.0
Kbtbd11,Both male and female analysis recommended,True,True,8.0,8.0
Mief1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Rasgrf1,Male-only analysis recommended,True,False,3.0,2.0
Htr1d,Both male and female analysis recommended,True,True,4.0,4.0
Ifngr1,Female-only analysis recommended,False,True,0.0,4.0
Fam53b,Both male and female analysis recommended,True,True,4.0,4.0
Prss35,Both male and female analysis recommended,True,True,8.0,8.0
Plcb4,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Ctdsp1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Ocstamp,Both male and female analysis recommended,True,True,5.0,4.0
Castor1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Trim13,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Hormad2,Both male and female analysis recommended,True,True,8.0,7.0
Morc3,Both male and female analysis recommended,True,True,3.0,8.0
Phactr3,Both male and female analysis recommended,True,True,4.0,4.0
Cd209c,Both male and female analysis recommended,True,True,8.0,8.0
Fbxw18,Both male and female analysis recommended,True,True,11.0,16.0
Rrp8,Both male and female analysis recommended,True,True,4.0,4.0
Klkb1,Both male and female analysis recommended,True,True,4.0,4.0
Stk38,Both male and female analysis recommended,True,True,4.0,4.0
Tex29,Both male and female analysis recommended,True,True,4.0,4.0
Ubash3a,Female-only analysis recommended,False,True,3.0,4.0
Apoc4,Both male and female analysis recommended,True,True,4.0,4.0
Epgn,Both male and female analysis recommended,True,True,3.0,5.0
Rspo4,Male-only analysis recommended,True,False,4.0,0.0
Tax1bp3,Both male and female analysis recommended,True,True,4.0,4.0
Cst6,Both male and female analysis recommended,True,True,8.0,8.0
H13,Female-only analysis recommended,False,True,0.0,4.0
Arpc1b,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Arap3,Both male and female analysis recommended,True,True,4.0,4.0
Spa17,Both male and female analysis recommended,True,True,4.0,4.0
Pla2g2d,Both male and female analysis recommended,True,True,4.0,4.0
Scart2,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Dnaaf1,Both male and female analysis recommended,True,True,4.0,4.0
Sla2,Both male and female analysis recommended,True,True,7.0,8.0
Arhgap30,Male-only analysis recommended,True,False,3.0,0.0
Crym,Both male and female analysis recommended,True,True,4.0,4.0
Mir96,Male-only analysis recommended,True,False,6.0,2.0
Ttc29,Both male and female analysis recommended,True,True,4.0,4.0
Cdk13,Both male and female analysis recommended,True,True,4.0,4.0
Ncam2,Both male and female analysis recommended,True,True,3.0,3.0
Slc52a2,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Avl9,Both male and female analysis recommended,True,True,4.0,4.0
Pdk3,Female-only analysis recommended,False,True,0.0,4.0
Gpbp1,Both male and female analysis recommended,True,True,4.0,4.0
Ankrd9,Male-only analysis recommended,True,False,7.0,1.0
Eif3f,Both male and female analysis recommended,True,True,4.0,4.0
Bbc3,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Tspan14,Insufficient data for sex-specific analysis,False,False,2.0,1.0
Mroh8,Both male and female analysis recommended,True,True,8.0,8.0
Fam114a1,Both male and female analysis recommended,True,True,4.0,4.0
Pccb,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Ube2f,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Adora2b,Both male and female analysis recommended,True,True,5.0,4.0
Lrrc8c,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Osbpl10,Both male and female analysis recommended,True,True,4.0,4.0
Tmem164,Insufficient data for sex-specific analysis,True,True,4.0,4.0
Dmd,Insufficient data for sex-specific analysis,True,True,4.0,4.0
Eif4g1,Both male and female analysis recommended,True,True,4.0,4.0
Vgll4,Both male and female analysis recommended,True,True,4.0,4.0
Tekt1,Both male and female analysis recommended,True,True,7.0,8.0
Gck,Insufficient data for sex-specific analysis,False,False,2.0,2.0
