gene_symbol,sex_analysis_recommendation,male_sufficient,female_sufficient
Rtn4rl2,Insufficient data for sex-specific analysis,False,False
Prss2,Both male and female analysis recommended,True,True
Pfkfb4,Male-only analysis recommended,True,False
Bst2,Insufficient data for sex-specific analysis,False,False
Zgrf1,Both male and female analysis recommended,True,True
Vegfb,Both male and female analysis recommended,True,True
Slc9a5,Both male and female analysis recommended,True,True
Aldh1a3,Both male and female analysis recommended,True,True
Csf2rb,Both male and female analysis recommended,True,True
Ints7,Both male and female analysis recommended,True,True
Ces1d,Insufficient data for sex-specific analysis,False,False
Scn3b,Insufficient data for sex-specific analysis,False,False
Itm2c,Insufficient data for sex-specific analysis,False,False
Eng,Insufficient data for sex-specific analysis,False,False
Dnase1l2,Both male and female analysis recommended,True,True
Otol1,Insufficient data for sex-specific analysis,False,False
Abhd17c,Insufficient data for sex-specific analysis,False,False
Marveld2,Insufficient data for sex-specific analysis,False,False
Tubb4b,Insufficient data for sex-specific analysis,False,False
Nedd4,Insufficient data for sex-specific analysis,False,False
Aldh1b1,Female-only analysis recommended,False,True
Gnpda2,Insufficient data for sex-specific analysis,False,False
Med1,Insufficient data for sex-specific analysis,False,False
Cimap1d,Insufficient data for sex-specific analysis,False,False
Cmtm3,Insufficient data for sex-specific analysis,False,False
Snx22,Insufficient data for sex-specific analysis,False,False
Kbtbd12,Insufficient data for sex-specific analysis,False,False
Apbb3,Insufficient data for sex-specific analysis,False,False
Slc13a3,Insufficient data for sex-specific analysis,False,False
Arhgef12,Insufficient data for sex-specific analysis,False,False
Mir100,Insufficient data for sex-specific analysis,False,False
Ndufc2,Insufficient data for sex-specific analysis,False,False
Csf3r,Insufficient data for sex-specific analysis,False,False
Ms4a12,Insufficient data for sex-specific analysis,False,False
Atp13a5,Insufficient data for sex-specific analysis,False,False
Ndrg3,Insufficient data for sex-specific analysis,False,False
Cfap45,Both male and female analysis recommended,True,True
Tor1a,Insufficient data for sex-specific analysis,False,False
Fads1,Insufficient data for sex-specific analysis,False,False
Treml1,Insufficient data for sex-specific analysis,False,False
Hdgfl1,Insufficient data for sex-specific analysis,False,False
Erich3,Insufficient data for sex-specific analysis,False,False
Pgbd1,Insufficient data for sex-specific analysis,False,False
Prpf18,Insufficient data for sex-specific analysis,False,False
Plin4,Insufficient data for sex-specific analysis,False,False
Efcab11,Insufficient data for sex-specific analysis,False,False
Akap10,Insufficient data for sex-specific analysis,False,False
Abhd11,Insufficient data for sex-specific analysis,False,False
Samd9l,Insufficient data for sex-specific analysis,False,False
Bpifa2,Insufficient data for sex-specific analysis,False,False
Ints12,Insufficient data for sex-specific analysis,False,False
Abhd14a,Insufficient data for sex-specific analysis,False,False
Ahsa2,Insufficient data for sex-specific analysis,False,False
Epb41l4a,Both male and female analysis recommended,True,True
Kbtbd3,Both male and female analysis recommended,True,True
Taar8a,Both male and female analysis recommended,True,True
Maf,Insufficient data for sex-specific analysis,False,False
Usp36,Insufficient data for sex-specific analysis,False,False
Myh8,Insufficient data for sex-specific analysis,False,False
Sptan1,Insufficient data for sex-specific analysis,False,False
Esr2,Insufficient data for sex-specific analysis,False,False
Asic4,Insufficient data for sex-specific analysis,False,False
Aicda,Insufficient data for sex-specific analysis,False,False
Kcnh6,Insufficient data for sex-specific analysis,False,False
Irak2,Insufficient data for sex-specific analysis,False,False
Ppt2,Insufficient data for sex-specific analysis,False,False
Usp31,Insufficient data for sex-specific analysis,False,False
Kat5,Insufficient data for sex-specific analysis,False,False
Dgke,Insufficient data for sex-specific analysis,False,False
Edc3,Insufficient data for sex-specific analysis,False,False
Rab3il1,Both male and female analysis recommended,True,True
Galt,Insufficient data for sex-specific analysis,False,False
Pip4p1,Both male and female analysis recommended,True,True
Bcl2l11,Insufficient data for sex-specific analysis,False,False
Lgals3bp,Insufficient data for sex-specific analysis,False,False
Ciao2a,Male-only analysis recommended,True,False
Gramd2b,Both male and female analysis recommended,True,True
Cfap68,Insufficient data for sex-specific analysis,False,False
Golm2,Insufficient data for sex-specific analysis,False,False
Atp5po,Both male and female analysis recommended,True,True
Cped1,Both male and female analysis recommended,True,True
Ttc38,Both male and female analysis recommended,True,True
Slc5a4a,Both male and female analysis recommended,True,True
Sort1,Insufficient data for sex-specific analysis,False,False
Il21r,Insufficient data for sex-specific analysis,False,False
Gabpa,Insufficient data for sex-specific analysis,False,False
Ppp1r15a,Insufficient data for sex-specific analysis,False,False
Pla2g4b,Insufficient data for sex-specific analysis,False,False
Fbxw13,Insufficient data for sex-specific analysis,False,False
Adgrf1,Both male and female analysis recommended,True,True
Ankrd28,Male-only analysis recommended,True,False
Ccdc40,Both male and female analysis recommended,True,True
Zc3h13,Both male and female analysis recommended,True,True
Fstl1,Insufficient data for sex-specific analysis,False,False
Adipoq,Insufficient data for sex-specific analysis,False,False
Tbcel,Both male and female analysis recommended,True,True
Fndc3b,Insufficient data for sex-specific analysis,False,False
Akr1c14,Insufficient data for sex-specific analysis,False,False
Fgf9,Both male and female analysis recommended,True,True
Zdhhc24,Insufficient data for sex-specific analysis,False,False
Slc4a8,Insufficient data for sex-specific analysis,False,False
Ncor2,Insufficient data for sex-specific analysis,False,False
Fbxo36,Insufficient data for sex-specific analysis,False,False
Xbp1,Insufficient data for sex-specific analysis,False,False
Bri3bp,Insufficient data for sex-specific analysis,False,False
Clca2,Insufficient data for sex-specific analysis,False,False
Btc,Insufficient data for sex-specific analysis,False,False
Akap13,Insufficient data for sex-specific analysis,False,False
Clcn6,Insufficient data for sex-specific analysis,False,False
Sgtb,Insufficient data for sex-specific analysis,False,False
Ufc1,Insufficient data for sex-specific analysis,False,False
Skic3,Insufficient data for sex-specific analysis,False,False
Me2,Insufficient data for sex-specific analysis,False,False
Retreg3,Insufficient data for sex-specific analysis,False,False
Hk3,Insufficient data for sex-specific analysis,False,False
Il20rb,Insufficient data for sex-specific analysis,False,False
Arfip1,Insufficient data for sex-specific analysis,False,False
Tafa2,Insufficient data for sex-specific analysis,False,False
Cib3,Insufficient data for sex-specific analysis,False,False
Pard3b,Male-only analysis recommended,True,False
Sgsm1,Insufficient data for sex-specific analysis,False,False
Rfxank,Male-only analysis recommended,True,False
Ces2c,Both male and female analysis recommended,True,True
C2cd4c,Both male and female analysis recommended,True,True
Mcu,Insufficient data for sex-specific analysis,False,False
Dpm3,Insufficient data for sex-specific analysis,False,False
Kntc1,Both male and female analysis recommended,True,True
Fam222a,Both male and female analysis recommended,True,True
Hnrnpd,Female-only analysis recommended,False,True
Pdia6,Male-only analysis recommended,True,False
Mir203,Both male and female analysis recommended,True,True
Ifnk,Both male and female analysis recommended,True,True
Ctla2b,Insufficient data for sex-specific analysis,False,False
Serinc3,Male-only analysis recommended,True,False
Chchd10,Insufficient data for sex-specific analysis,False,False
Fadd,Insufficient data for sex-specific analysis,False,False
Snapc1,Insufficient data for sex-specific analysis,False,False
