gene_symbol,allele_symbol,zygosity,center,total_control_count,male_control_count,female_control_count,control_status,male_analyzable,female_analyzable,both_sex_analyzable,male_total_mice,male_complete_data_mice,male_sufficient_sample,male_complete_data_sufficient,male_6kHz-evoked ABR Threshold_count,male_6kHz-evoked ABR Threshold_sufficient,male_12kHz-evoked ABR Threshold_count,male_12kHz-evoked ABR Threshold_sufficient,male_18kHz-evoked ABR Threshold_count,male_18kHz-evoked ABR Threshold_sufficient,male_24kHz-evoked ABR Threshold_count,male_24kHz-evoked ABR Threshold_sufficient,male_30kHz-evoked ABR Threshold_count,male_30kHz-evoked ABR Threshold_sufficient,female_total_mice,female_complete_data_mice,female_sufficient_sample,female_complete_data_sufficient,female_6kHz-evoked ABR Threshold_count,female_6kHz-evoked ABR Threshold_sufficient,female_12kHz-evoked ABR Threshold_count,female_12kHz-evoked ABR Threshold_sufficient,female_18kHz-evoked ABR Threshold_count,female_18kHz-evoked ABR Threshold_sufficient,female_24kHz-evoked ABR Threshold_count,female_24kHz-evoked ABR Threshold_sufficient,female_30kHz-evoked ABR Threshold_count,female_30kHz-evoked ABR Threshold_sufficient,status,total_groups,male_analyzable_groups,female_analyzable_groups,both_sex_analyzable_groups
Kcnh8,Kcnh8<em1(IMPC)Mbp>,homozygote,UC Davis,574.0,285.0,289.0,OK,False,False,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,,,,,
Sun1,Sun1<tm1b(EUCOMM)Wtsi>,homozygote,ICS,1512.0,767.0,745.0,OK,True,True,True,6.0,6.0,True,True,6.0,True,6.0,True,6.0,True,6.0,True,6.0,True,3.0,3.0,True,True,3.0,True,3.0,True,3.0,True,3.0,True,3.0,True,,,,,
Awat2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No experimental groups found,0.0,0.0,0.0,0.0
Nwd2,Nwd2<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,3446.0,1701.0,1745.0,OK,True,True,True,8.0,6.0,True,True,8.0,True,8.0,True,8.0,True,8.0,True,6.0,True,8.0,6.0,True,True,8.0,True,8.0,True,8.0,True,8.0,True,6.0,True,,,,,
Gzf1,Gzf1<em1(IMPC)Tcp>,homozygote,TCP,588.0,293.0,295.0,OK,False,True,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,3.0,3.0,True,True,3.0,True,3.0,True,3.0,True,3.0,True,3.0,True,,,,,
Gzf1,Gzf1<em1(IMPC)Tcp>,heterozygote,TCP,588.0,293.0,295.0,OK,False,False,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,,,,,
Mpv17,Mpv17<em1(IMPC)J>,homozygote,JAX,2541.0,1264.0,1277.0,OK,True,True,True,3.0,3.0,True,True,3.0,True,3.0,True,3.0,True,3.0,True,3.0,True,4.0,4.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,True,,,,,
Klk6,Klk6<em1(IMPC)Wtsi>,homozygote,WTSI,906.0,454.0,452.0,OK,True,False,False,3.0,3.0,True,True,3.0,True,3.0,True,3.0,True,3.0,True,3.0,True,1.0,1.0,False,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,,,,,
Luc7l3,Luc7l3<em1(IMPC)J>,heterozygote,JAX,2541.0,1264.0,1277.0,OK,True,True,True,4.0,4.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,4.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,True,,,,,
Insyn2b,Insyn2b<em1(IMPC)J>,homozygote,JAX,2541.0,1264.0,1277.0,OK,True,True,True,4.0,4.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,4.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,True,,,,,
Asb5,Asb5<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,3446.0,1701.0,1745.0,OK,True,True,True,7.0,6.0,True,True,7.0,True,7.0,True,7.0,True,7.0,True,6.0,True,7.0,4.0,True,True,7.0,True,7.0,True,7.0,True,7.0,True,4.0,True,,,,,
Iqub,Iqub<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,574.0,285.0,289.0,OK,False,False,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,,,,,
Bysl,Bysl<em1(IMPC)Ccpcz>,heterozygote,CCP-IMG,3446.0,1701.0,1745.0,OK,True,True,True,8.0,3.0,True,True,8.0,True,8.0,True,8.0,True,8.0,True,3.0,True,8.0,4.0,True,True,8.0,True,8.0,True,8.0,True,7.0,True,4.0,True,,,,,
6820408C15Rik,6820408C15Rik<em1(IMPC)Mbp>,homozygote,UC Davis,574.0,285.0,289.0,OK,False,False,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,,,,,
Prss12,Prss12<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,3446.0,1701.0,1745.0,OK,True,False,False,7.0,5.0,True,True,7.0,True,7.0,True,7.0,True,5.0,True,5.0,True,8.0,2.0,True,False,8.0,True,8.0,True,8.0,True,6.0,True,2.0,False,,,,,
