gene_symbol,total_groups,male_analyzable,female_analyzable,both_sex_analyzable,max_male_mice,max_female_mice,max_male_complete_data,max_female_complete_data,max_male_controls,max_female_controls
Kcnh8,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Sun1,1,True,True,True,6.0,3.0,6.0,3.0,767.0,745.0
Awat2,1,False,False,False,,,,,,
Nwd2,1,True,True,True,8.0,8.0,6.0,6.0,1701.0,1745.0
Gzf1,2,False,True,False,2.0,3.0,2.0,3.0,293.0,295.0
Mpv17,1,True,True,True,3.0,4.0,3.0,4.0,1264.0,1277.0
Klk6,1,True,False,False,3.0,1.0,3.0,1.0,454.0,452.0
Luc7l3,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Insyn2b,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Asb5,1,True,True,True,7.0,7.0,6.0,4.0,1701.0,1745.0
Iqub,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Bysl,1,True,True,True,8.0,8.0,3.0,4.0,1701.0,1745.0
6820408C15Rik,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Prss12,1,True,False,False,7.0,8.0,5.0,2.0,1701.0,1745.0
Kbtbd11,1,True,True,True,8.0,8.0,7.0,8.0,1701.0,1745.0
Mief1,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Rasgrf1,1,True,False,False,3.0,2.0,3.0,2.0,169.0,177.0
Htr1d,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Ifngr1,1,False,True,False,0.0,4.0,0.0,4.0,285.0,289.0
Fam53b,1,True,True,True,4.0,4.0,4.0,4.0,475.0,485.0
Prss35,1,True,True,True,8.0,8.0,8.0,7.0,1701.0,1745.0
Plcb4,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Ctdsp1,1,False,False,False,2.0,2.0,2.0,2.0,434.0,426.0
Ocstamp,1,True,True,True,5.0,4.0,5.0,4.0,1264.0,1277.0
Castor1,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Trim13,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Hormad2,1,True,True,True,8.0,7.0,8.0,6.0,1701.0,1745.0
Morc3,1,True,True,True,3.0,8.0,3.0,8.0,767.0,745.0
Phactr3,1,True,True,True,4.0,4.0,3.0,4.0,959.0,950.0
Cd209c,1,True,True,True,8.0,8.0,7.0,7.0,1701.0,1745.0
Fbxw18,1,True,True,True,11.0,16.0,8.0,14.0,1701.0,1745.0
Rrp8,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Klkb1,1,True,True,True,4.0,4.0,4.0,4.0,475.0,485.0
Stk38,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Tex29,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Ubash3a,2,False,True,False,3.0,4.0,2.0,4.0,475.0,485.0
Apoc4,1,True,True,True,4.0,4.0,4.0,3.0,475.0,485.0
Epgn,1,True,True,True,3.0,5.0,3.0,5.0,1264.0,1277.0
Rspo4,1,True,False,False,4.0,0.0,4.0,0.0,454.0,452.0
Tax1bp3,1,True,True,True,4.0,4.0,3.0,4.0,475.0,485.0
Cst6,1,True,True,True,8.0,8.0,8.0,8.0,1701.0,1745.0
H13,1,False,True,False,0.0,4.0,0.0,4.0,454.0,452.0
Arpc1b,1,False,False,False,2.0,2.0,2.0,2.0,454.0,452.0
Arap3,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Spa17,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Pla2g2d,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Scart2,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Dnaaf1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Sla2,1,True,True,True,7.0,8.0,6.0,5.0,1701.0,1745.0
Arhgap30,1,True,False,False,3.0,0.0,3.0,0.0,454.0,452.0
Crym,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Mir96,3,True,False,False,6.0,2.0,6.0,2.0,454.0,452.0
Ttc29,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Cdk13,1,True,True,True,4.0,4.0,4.0,3.0,475.0,485.0
Ncam2,1,True,True,True,3.0,3.0,3.0,3.0,767.0,745.0
Slc52a2,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Avl9,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Pdk3,1,False,True,False,0.0,4.0,0.0,4.0,454.0,452.0
Gpbp1,1,True,True,True,4.0,4.0,4.0,4.0,475.0,485.0
Ankrd9,1,True,False,False,7.0,1.0,7.0,1.0,454.0,452.0
Eif3f,1,True,True,True,4.0,4.0,4.0,4.0,959.0,950.0
Bbc3,1,False,False,False,2.0,2.0,2.0,2.0,83.0,64.0
Tspan14,1,False,False,False,2.0,1.0,2.0,0.0,169.0,177.0
