gene_symbol,total_groups,male_analyzable,female_analyzable,both_sex_analyzable,max_male_mice,max_female_mice,max_male_complete_data,max_female_complete_data,max_male_controls,max_female_controls
Rtn4rl2,1,False,False,False,2,2,2,2,285,289
Prss2,1,True,True,True,3,4,3,4,1264,1277
Pfkfb4,2,True,False,False,4,2,4,2,454,452
Bst2,1,False,False,False,2,2,2,2,285,289
Zgrf1,1,True,True,True,4,4,4,4,1264,1277
Vegfb,1,True,True,True,4,4,4,4,1264,1277
Slc9a5,1,True,True,True,4,4,4,4,1264,1277
Aldh1a3,1,True,True,True,4,4,4,4,1264,1277
Csf2rb,1,True,True,True,9,7,9,7,767,745
Ints7,1,True,True,True,4,4,4,4,1264,1277
Ces1d,1,False,False,False,2,2,2,2,285,289
Scn3b,1,False,False,False,2,2,2,2,454,452
Itm2c,2,False,False,False,4,3,2,2,475,485
Eng,1,False,False,False,2,2,2,2,285,289
Dnase1l2,10,True,True,True,9,12,9,12,1264,1277
Otol1,1,False,False,False,2,2,2,2,285,289
Abhd17c,1,False,False,False,2,2,2,2,285,289
Marveld2,1,False,False,False,2,2,2,2,434,426
Tubb4b,1,False,False,False,2,2,2,2,1264,1277
Nedd4,1,False,False,False,2,2,2,2,169,177
Aldh1b1,2,False,True,False,0,4,0,4,454,452
Gnpda2,1,False,False,False,2,2,2,2,285,289
Med1,1,False,False,False,2,2,2,2,285,289
Cimap1d,2,False,False,False,2,2,2,2,285,289
Cmtm3,1,False,False,False,2,2,2,2,169,177
Snx22,1,False,False,False,2,2,2,2,285,289
Kbtbd12,1,False,False,False,2,2,2,2,285,289
Apbb3,1,False,False,False,2,2,2,2,83,64
Slc13a3,1,False,False,False,2,2,2,2,285,289
Arhgef12,1,False,False,False,2,2,2,2,285,289
Mir100,1,False,False,False,2,3,2,2,209,211
Ndufc2,1,False,False,False,2,2,2,2,285,289
Csf3r,1,False,False,False,2,2,2,2,285,289
Ms4a12,1,False,False,False,2,2,2,2,285,289
Atp13a5,1,False,False,False,2,2,2,2,83,64
Ndrg3,1,False,False,False,2,2,2,2,285,289
Cfap45,2,True,True,True,3,3,3,3,83,64
Tor1a,1,False,False,False,2,2,2,2,169,177
Fads1,1,False,False,False,2,2,2,2,285,289
Treml1,1,False,False,False,2,2,2,2,434,426
Hdgfl1,1,False,False,False,2,2,2,2,293,295
Erich3,1,False,False,False,2,2,2,2,285,289
Pgbd1,1,False,False,False,2,2,2,2,293,295
Prpf18,1,False,False,False,2,2,2,2,285,289
Plin4,1,False,False,False,2,2,2,2,285,289
Efcab11,1,False,False,False,2,2,2,2,434,426
Akap10,1,False,False,False,2,2,2,2,285,289
Abhd11,1,False,False,False,2,2,2,2,285,289
