gene_symbol,allele_symbol,zygosity,center,all_bayes_factor,all_p_hearing_loss,all_hdi_lower,all_hdi_upper,all_n_mutants,all_n_controls,all_analysis_key,all_effect_6kHz-evoked,all_effect_12kHz-evoked,all_effect_18kHz-evoked,all_effect_24kHz-evoked,all_effect_30kHz-evoked,male_bayes_factor,male_p_hearing_loss,male_hdi_lower,male_hdi_upper,male_n_mutants,male_n_controls,male_analysis_key,male_effect_6kHz-evoked,male_effect_12kHz-evoked,male_effect_18kHz-evoked,male_effect_24kHz-evoked,male_effect_30kHz-evoked,female_bayes_factor,female_p_hearing_loss,female_hdi_lower,female_hdi_upper,female_n_mutants,female_n_controls,female_analysis_key,female_effect_6kHz-evoked,female_effect_12kHz-evoked,female_effect_18kHz-evoked,female_effect_24kHz-evoked,female_effect_30kHz-evoked,gene_classification
Plcb4,Plcb4<tm1b(EUCOMM)Wtsi>,homozygote,UC Davis,3.4077134986225897,0.625,0.332,0.915,4.0,569.0,Plcb4_Plcb4<tm1b(EUCOMM)Wtsi>_homozygote_UC Davis,10.219,11.588,11.518,20.832,32.446,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Mir96,Mir96<tm2.2(IMPC)Wtsi>,homozygote,WTSI,10.220196353436185,0.701,0.448,0.941,6.0,904.0,Mir96_Mir96<tm2.2(IMPC)Wtsi>_homozygote_WTSI,56.43,68.495,66.137,56.957,43.013,10.251758087201123,0.702,0.452,0.945,6.0,453.0,Mir96_Mir96<tm2.2(IMPC)Wtsi>_homozygote_WTSI_male,56.374,68.679,67.611,57.774,43.73,,,,,,,,,,,,,Known
Mir96,Mir96<tm3.2(IMPC)Wtsi>,homozygote,WTSI,5.920415224913495,0.666,0.388,0.925,5.0,904.0,Mir96_Mir96<tm3.2(IMPC)Wtsi>_homozygote_WTSI,55.314,66.953,64.751,55.384,41.39,1.874595759971254,0.57,0.257,0.893,3.0,453.0,Mir96_Mir96<tm3.2(IMPC)Wtsi>_homozygote_WTSI_male,51.398,61.825,61.75,51.017,37.228,,,,,,,,,,,,,Known
Wdr45,Wdr45<em1(IMPC)J>,homozygote,JAX,3.206098843322818,0.621,0.326,0.922,4.0,2541.0,Wdr45_Wdr45<em1(IMPC)J>_homozygote_JAX,12.325,13.967,30.072,21.958,18.507,,,,,,,,,,,,,3.2757883484767505,0.621,0.314,0.905,4.0,1277.0,Wdr45_Wdr45<em1(IMPC)J>_homozygote_JAX_female,12.623,13.919,29.989,21.834,18.451,Known
Wdr45,Wdr45<em1(IMPC)J>,hemizygote,JAX,3.4918585064570467,0.626,0.34,0.93,4.0,2541.0,Wdr45_Wdr45<em1(IMPC)J>_hemizygote_JAX,14.116,13.172,29.215,14.401,16.467,3.3080236941303176,0.622,0.319,0.905,4.0,1264.0,Wdr45_Wdr45<em1(IMPC)J>_hemizygote_JAX_male,13.695,13.224,29.209,14.733,16.518,,,,,,,,,,,,,Known
Lpp,Lpp<tm1b(KOMP)Wtsi>,homozygote,HMGU,4.925925925925926,0.658,0.384,0.939,6.0,1804.0,Lpp_Lpp<tm1b(KOMP)Wtsi>_homozygote_HMGU,19.059,14.805,14.126,17.426,16.299,,,,,,,,,,,,,1.7855153203342615,0.563,0.231,0.867,4.0,884.0,Lpp_Lpp<tm1b(KOMP)Wtsi>_homozygote_HMGU_female,20.987,17.425,16.053,18.777,18.481,Novel
Lpp,Lpp<tm1b(KOMP)Wtsi>,heterozygote,HMGU,6.866273352999016,0.661,0.416,0.902,8.0,1804.0,Lpp_Lpp<tm1b(KOMP)Wtsi>_heterozygote_HMGU,16.298,13.665,13.944,14.064,15.337,0.8748535270681977,0.484,0.159,0.789,4.0,920.0,Lpp_Lpp<tm1b(KOMP)Wtsi>_heterozygote_HMGU_male,15.269,14.674,16.983,14.73,15.869,2.966286564204264,0.615,0.306,0.92,4.0,884.0,Lpp_Lpp<tm1b(KOMP)Wtsi>_heterozygote_HMGU_female,19.056,14.708,13.411,15.527,16.999,Novel
Cep250,Cep250<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,17.30663615560641,0.727,0.485,0.945,7.0,904.0,Cep250_Cep250<tm1a(EUCOMM)Wtsi>_homozygote_WTSI,5.592,3.659,7.77,37.198,42.917,5.0652009097801365,0.66,0.374,0.922,5.0,453.0,Cep250_Cep250<tm1a(EUCOMM)Wtsi>_homozygote_WTSI_male,5.497,5.813,10.116,36.455,40.059,,,,,,,,,,,,,Known
Gm5148,Gm5148<em1(IMPC)Ccpcz>,heterozygote,CCP-IMG,4.965697240865026,0.628,0.387,0.867,13.0,2953.0,Gm5148_Gm5148<em1(IMPC)Ccpcz>_heterozygote_CCP-IMG,12.204,12.685,14.129,13.335,14.114,0.2872083668543845,0.379,0.106,0.652,8.0,1480.0,Gm5148_Gm5148<em1(IMPC)Ccpcz>_heterozygote_CCP-IMG_male,15.102,14.026,16.13,14.954,18.441,3.3596730245231607,0.621,0.325,0.915,5.0,1473.0,Gm5148_Gm5148<em1(IMPC)Ccpcz>_heterozygote_CCP-IMG_female,13.221,15.657,14.983,15.592,15.894,Novel
Blvrb,Blvrb<tm1(KOMP)Wtsi>,homozygote,MARC,9.6951871657754,0.684,0.434,0.92,8.0,147.0,Blvrb_Blvrb<tm1(KOMP)Wtsi>_homozygote_MARC,10.147,13.332,21.861,31.802,28.366,3.4004400440044003,0.623,0.334,0.92,4.0,83.0,Blvrb_Blvrb<tm1(KOMP)Wtsi>_homozygote_MARC_male,14.367,16.036,14.015,27.674,26.993,0.998001998001998,0.501,0.216,0.827,4.0,64.0,Blvrb_Blvrb<tm1(KOMP)Wtsi>_homozygote_MARC_female,10.473,15.321,30.75,31.666,24.849,Novel
Atg4b,Atg4b<em1(IMPC)Marc>,homozygote,MARC,3.481792717086835,0.626,0.314,0.908,4.0,147.0,Atg4b_Atg4b<em1(IMPC)Marc>_homozygote_MARC,24.752,20.26,12.256,20.108,26.785,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Wrnip1,Wrnip1<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,8.248554913294798,0.692,0.422,0.932,6.0,1804.0,Wrnip1_Wrnip1<tm1b(EUCOMM)Wtsi>_homozygote_HMGU,17.17,12.448,13.1,13.324,12.307,3.075394803871625,0.613,0.313,0.91,4.0,920.0,Wrnip1_Wrnip1<tm1b(EUCOMM)Wtsi>_homozygote_HMGU_male,17.572,13.469,14.252,14.896,14.574,,,,,,,,,,,,,Novel
Cimip2b,Cimip2b<tm1(KOMP)Wtsi>,homozygote,MARC,3.3057050592034445,0.622,0.319,0.9,4.0,147.0,Cimip2b_Cimip2b<tm1(KOMP)Wtsi>_homozygote_MARC,11.381,12.537,9.784,32.058,25.539,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Klc2,Klc2<tm1e(EUCOMM)Wtsi>,homozygote,WTSI,346.8260869565217,0.824,0.662,0.975,13.0,904.0,Klc2_Klc2<tm1e(EUCOMM)Wtsi>_homozygote_WTSI,48.395,53.23,44.694,40.257,38.126,14.32567049808429,0.718,0.48,0.952,7.0,453.0,Klc2_Klc2<tm1e(EUCOMM)Wtsi>_homozygote_WTSI_male,52.28,57.224,57.582,50.141,41.828,9.471204188481677,0.699,0.44,0.942,6.0,451.0,Klc2_Klc2<tm1e(EUCOMM)Wtsi>_homozygote_WTSI_female,39.545,43.517,27.656,25.582,27.632,Known
Spns2,Spns2<tm1b(KOMP)Wtsi>,homozygote,WTSI,29.303030303030305,0.751,0.53,0.953,8.0,54.0,Spns2_Spns2<tm1b(KOMP)Wtsi>_homozygote_WTSI,57.333,65.703,65.7,50.679,36.75,10.235955056179776,0.699,0.454,0.944,6.0,25.0,Spns2_Spns2<tm1b(KOMP)Wtsi>_homozygote_WTSI_male,50.665,38.037,41.681,50.229,33.697,,,,,,,,,,,,,Novel
Phf3,Phf3<em2(IMPC)Marc>,homozygote,MARC,5.796941376380628,0.666,0.39,0.931,5.0,147.0,Phf3_Phf3<em2(IMPC)Marc>_homozygote_MARC,7.655,11.573,8.678,33.722,27.486,,,,,,,,,,,,,1.9175784099197664,0.573,0.264,0.898,3.0,64.0,Phf3_Phf3<em2(IMPC)Marc>_homozygote_MARC_female,11.197,13.662,11.492,33.597,25.547,Novel
Klhl18,Klhl18<tm1a(KOMP)Wtsi>,homozygote,WTSI,28.197080291970803,0.75,0.537,0.961,8.0,904.0,Klhl18_Klhl18<tm1a(KOMP)Wtsi>_homozygote_WTSI,44.745,46.855,33.801,22.948,16.44,17.433179723502302,0.728,0.491,0.949,7.0,453.0,Klhl18_Klhl18<tm1a(KOMP)Wtsi>_homozygote_WTSI_male,43.597,45.144,34.529,21.868,17.658,,,,,,,,,,,,,Novel
Ankrd24,Ankrd24<em1(IMPC)J>,homozygote,JAX,3.04244567963618,0.597,0.333,0.853,8.0,2541.0,Ankrd24_Ankrd24<em1(IMPC)J>_homozygote_JAX,6.641,25.287,41.464,15.122,15.817,0.3717421124828532,0.397,0.082,0.696,4.0,1264.0,Ankrd24_Ankrd24<em1(IMPC)J>_homozygote_JAX_male,11.692,22.034,34.245,15.617,16.694,3.5300113250283127,0.624,0.323,0.918,4.0,1277.0,Ankrd24_Ankrd24<em1(IMPC)J>_homozygote_JAX_female,7.085,25.71,38.448,16.902,17.056,Novel
Osbpl8,Osbpl8<em1(IMPC)Tcp>,homozygote,TCP,28.52029520295203,0.75,0.527,0.957,8.0,588.0,Osbpl8_Osbpl8<em1(IMPC)Tcp>_homozygote_TCP,36.895,39.939,39.337,36.082,29.247,3.340748779164406,0.624,0.328,0.911,4.0,293.0,Osbpl8_Osbpl8<em1(IMPC)Tcp>_homozygote_TCP_male,37.511,36.336,36.322,32.012,27.663,3.5045045045045047,0.625,0.334,0.899,4.0,295.0,Osbpl8_Osbpl8<em1(IMPC)Tcp>_homozygote_TCP_female,32.537,41.372,39.535,36.236,27.695,Novel
Lrp1b,Lrp1b<em1(IMPC)Hmgu>,heterozygote,HMGU,15.227180527383368,0.721,0.479,0.946,7.0,1804.0,Lrp1b_Lrp1b<em1(IMPC)Hmgu>_heterozygote_HMGU,19.321,13.087,13.424,15.704,18.726,1.9218407596785976,0.57,0.246,0.881,3.0,920.0,Lrp1b_Lrp1b<em1(IMPC)Hmgu>_heterozygote_HMGU_male,19.872,14.508,15.783,17.571,19.776,2.3458803847762444,0.596,0.271,0.905,4.0,884.0,Lrp1b_Lrp1b<em1(IMPC)Hmgu>_heterozygote_HMGU_female,19.364,14.073,13.677,15.467,18.534,Novel
Nedd4l,Nedd4l<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,6.168458781362007,0.666,0.389,0.919,5.0,858.0,Nedd4l_Nedd4l<tm1b(KOMP)Wtsi>_homozygote_MRC Harwell,38.274,43.272,44.338,43.855,31.666,,,,,,,,,,,,,1.881844380403458,0.571,0.25,0.888,3.0,426.0,Nedd4l_Nedd4l<tm1b(KOMP)Wtsi>_homozygote_MRC Harwell_female,34.521,37.696,38.581,38.821,28.306,Known
Kif13a,Kif13a<em1(IMPC)Mbp>,homozygote,UC Davis,3.451864218141347,0.626,0.332,0.913,4.0,569.0,Kif13a_Kif13a<em1(IMPC)Mbp>_homozygote_UC Davis,28.467,39.704,37.357,36.505,27.669,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Clrn2,Clrn2<em1(IMPC)J>,homozygote,JAX,29.53435114503817,0.749,0.53,0.956,8.0,2541.0,Clrn2_Clrn2<em1(IMPC)J>_homozygote_JAX,46.775,45.978,54.336,45.535,34.0,3.3883708173340645,0.625,0.321,0.909,4.0,1264.0,Clrn2_Clrn2<em1(IMPC)J>_homozygote_JAX_male,42.445,40.549,47.709,39.514,30.796,3.3691971600218458,0.625,0.317,0.9,4.0,1277.0,Clrn2_Clrn2<em1(IMPC)J>_homozygote_JAX_female,43.802,41.448,47.802,39.958,30.883,Known
Otoa,Otoa<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,32.61,0.75,0.535,0.961,8.0,574.0,Otoa_Otoa<tm1.1(KOM50.38774165,45.04393673,39.91915641,3.310344827586207,0.622,0.333,0.919,4.0,281.0,Otoa_Otoa<tm1.1(KOMP)Vlcg>_homozygote_UC Davis_male,31.855,34.299,37.779,35.479,30.545,3.5095828635851185,0.626,0.327,0.898,4.0,288.0,Otoa_Otoa<tm1.1(KOMP)Vlcg>_homozygote_UC Davis_female,35.632,40.061,42.888,37.517,27.696,,,,Known
Fbxo38,Fbxo38<em2(IMPC)Marc>,homozygote,MARC,3.173187271778821,0.617,0.331,0.923,4.0,147.0,Fbxo38_Fbxo38<em2(IMPC)Marc>_homozygote_MARC,9.957,14.44,7.546,19.37,26.707,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Slc17a8,Slc17a8<em1(IMPC)Mbp>,homozygote,UC Davis,3.3859649122807016,0.624,0.337,0.924,4.0,569.0,Slc17a8_Slc17a8<em1(IMPC)Mbp>_homozygote_UC Davis,40.098,50.851,56.095,49.475,32.516,,,,,,,,,,,,,,,,,,,,,,,,,Known
Ankrd11,Ankrd11<tm1b(EUCOMM)Wtsi>,heterozygote,ICS,7.097165991902834,0.63,0.428,0.837,15.0,1512.0,Ankrd11_Ankrd11<tm1b(EUCOMM)Wtsi>_heterozygote_ICS,27.002,23.426,19.864,26.454,25.834,0.2075471698113207,0.363,0.128,0.631,7.0,767.0,Ankrd11_Ankrd11<tm1b(EUCOMM)Wtsi>_heterozygote_ICS_male,20.567,22.654,19.003,20.846,20.426,31.388663967611336,0.75,0.529,0.955,8.0,745.0,Ankrd11_Ankrd11<tm1b(EUCOMM)Wtsi>_heterozygote_ICS_female,28.648,22.988,20.063,26.908,25.412,Candidate
Krtcap2,Krtcap2<em1(IMPC)J>,homozygote,JAX,28.9625468164794,0.751,0.519,0.945,8.0,2541.0,Krtcap2_Krtcap2<em1(IMPC)J>_homozygote_JAX,6.338,11.592,39.457,9.235,16.757,3.3383947939262475,0.623,0.336,0.923,4.0,1264.0,Krtcap2_Krtcap2<em1(IMPC)J>_homozygote_JAX_male,9.255,17.812,39.238,13.403,17.867,3.3787629994526545,0.626,0.344,0.922,4.0,1277.0,Krtcap2_Krtcap2<em1(IMPC)J>_homozygote_JAX_female,7.107,8.445,32.257,9.914,17.044,Novel
Rab11fip3,Rab11fip3<em1(IMPC)J>,homozygote,JAX,29.18867924528302,0.75,0.526,0.955,8.0,2541.0,Rab11fip3_Rab11fip3<em1(IMPC)J>_homozygote_JAX,21.032,36.906,47.568,23.858,33.973,3.402861860209136,0.623,0.325,0.904,4.0,1264.0,Rab11fip3_Rab11fip3<em1(IMPC)J>_homozygote_JAX_male,14.632,29.942,43.879,16.059,30.785,3.3883708173340645,0.626,0.328,0.909,4.0,1277.0,Rab11fip3_Rab11fip3<em1(IMPC)J>_homozygote_JAX_female,27.251,37.474,40.683,30.187,30.871,Novel
Aak1,Aak1<tm1b(EUCOMM)Hmgu>,homozygote,ICS,63.0,0.733,0.545,0.907,17.0,1512.0,Aak1_Aak1<tm1b(EUCOMM)Hmgu>_homozygote_ICS,20.035,29.386,37.194,42.947,31.073,31.388663967611336,0.75,0.54,0.959,8.0,767.0,Aak1_Aak1<tm1b(EUCOMM)Hmgu>_homozygote_ICS_male,18.479,24.067,24.288,34.533,30.08,4.115089514066496,0.617,0.365,0.85,9.0,745.0,Aak1_Aak1<tm1b(EUCOMM)Hmgu>_homozygote_ICS_female,21.274,32.912,45.245,41.731,26.076,Known
Btbd7,Btbd7<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,56.142857142857146,0.751,0.56,0.937,15.0,2953.0,Btbd7_Btbd7<em1(IMPC)Ccpcz>_homozygote_CCP-IMG,27.347,5.079,9.97,11.846,14.045,0.7010418881564958,0.467,0.199,0.753,7.0,1480.0,Btbd7_Btbd7<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_male,27.106,8.208,14.564,15.934,18.631,25.058631921824105,0.742,0.517,0.954,8.0,1473.0,Btbd7_Btbd7<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_female,27.322,7.055,10.512,12.571,14.076,Novel
Elmod1,Elmod1<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,3.3057050592034445,0.624,0.328,0.907,4.0,858.0,Elmod1_Elmod1<tm1b(EUCOMM)Hmgu>_homozygote_MRC Harwell,36.305,40.671,41.927,41.472,30.163,,,,,,,,,,,,,,,,,,,,,,,,,Known
Myo7a,Myo7a<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,33.63203463203463,0.751,0.534,0.953,8.0,904.0,Myo7a_Myo7a<tm1a(EUCOMM)Wtsi>_homozygote_WTSI,57.937,70.464,67.955,59.083,45.433,3.239533651298357,0.624,0.319,0.916,4.0,453.0,Myo7a_Myo7a<tm1a(EUCOMM)Wtsi>_homozygote_WTSI_male,53.747,64.981,64.478,54.086,39.925,3.2440318302387268,0.625,0.326,0.913,4.0,451.0,Myo7a_Myo7a<tm1a(EUCOMM)Wtsi>_homozygote_WTSI_female,53.521,64.119,60.938,52.265,38.911,Novel
Grxcr1,Grxcr1<em1(IMPC)J>,homozygote,JAX,32.47280334728033,0.749,0.524,0.946,8.0,2541.0,Grxcr1_Grxcr1<em1(IMPC)J>_homozygote_JAX,46.776,45.973,51.923,43.794,32.223,3.5845272206303727,0.626,0.338,0.903,4.0,1264.0,Grxcr1_Grxcr1<em1(IMPC)J>_homozygote_JAX_male,42.435,40.568,43.794,36.77,28.111,3.350190320826536,0.625,0.325,0.909,4.0,1277.0,Grxcr1_Grxcr1<em1(IMPC)J>_homozygote_JAX_female,43.784,41.441,47.85,39.971,30.82,Known
