gene,procedure,procedure_name,mp_term,action,reason
Letmd1,KMPCLA_ACS_003,Acoustic Startle and Pre-pulse Inhibition (PPI),decreased prepulse inhibition,removed,fully acoustic procedure
Atp13a3,IMPC_CSD_003,Combined SHIRPA and Dysmorphology,decreased exploration in new environment,kept,non-acoustic MP term from mixed procedure
Trpv4,IMPC_CSD_003,Combined SHIRPA and Dysmorphology,abnormal skin coloration,kept,non-acoustic MP term from mixed procedure
Dnase1l2,JAXLA_CSD_003,Combined SHIRPA and Dysmorphology,abnormal coat/hair pigmentation,kept,non-acoustic MP term from mixed procedure
Elmod1,IMPC_ABR_001,Auditory Brain Stem Response,abnormal auditory brainstem response,removed,fully acoustic procedure
Frrs1l,IMPC_CSD_003,Combined SHIRPA and Dysmorphology,trunk curl,kept,non-acoustic MP term from mixed procedure
Tmem51,IMPC_CSD_003,Combined SHIRPA and Dysmorphology,abnormal startle reflex,removed,acoustic MP term from mixed procedure
Hmx3,ESLIM_008_001,Modified SHIRPA,abnormal locomotor activation,kept,non-acoustic MP term from mixed procedure
Etnppl,IMPC_CSD_002,Combined SHIRPA and Dysmorphology,abnormal tooth morphology,kept,non-acoustic MP term from mixed procedure
Rundc3a,IMPC_ACS_003,Acoustic Startle and Pre-pulse Inhibition (PPI),decreased prepulse inhibition,removed,fully acoustic procedure
Usp53,IMPC_ACS_003,Acoustic Startle and Pre-pulse Inhibition (PPI),decreased prepulse inhibition,removed,fully acoustic procedure
Nos1ap,IMPC_ACS_003,Acoustic Startle and Pre-pulse Inhibition (PPI),decreased prepulse inhibition,removed,fully acoustic procedure
Jakmip2,IMPC_ACS_003,Acoustic Startle and Pre-pulse Inhibition (PPI),increased startle reflex,removed,fully acoustic procedure
Rbpj,IMPC_ACS_003,Acoustic Startle and Pre-pulse Inhibition (PPI),increased startle reflex,removed,fully acoustic procedure
Dnase1,IMPC_ABR_002,Auditory Brain Stem Response,abnormal auditory brainstem response,removed,fully acoustic procedure
Rbpms2,JAXLA_CSD_003,Combined SHIRPA and Dysmorphology,abnormal coat/hair pigmentation,kept,non-acoustic MP term from mixed procedure
Hoxc13,IMPC_CSD_003,Combined SHIRPA and Dysmorphology,abnormal coat appearance,kept,non-acoustic MP term from mixed procedure
Rpe65,ESLIM_011_001,Acoustic Startle&PPI,increased startle reflex,removed,fully acoustic procedure
Cdh23,MGP_CSD_001,Combined SHIRPA and Dysmorphology,abnormal gait,kept,non-acoustic MP term from mixed procedure
Strbp,IMPC_CSD_002,Combined SHIRPA and Dysmorphology,abnormal gait,kept,non-acoustic MP term from mixed procedure
Rhbdf2,ESLIM_008_001,Modified SHIRPA,tremors,kept,non-acoustic MP term from mixed procedure
Lcn12,IMPC_CSD_002,Combined SHIRPA and Dysmorphology,tremors,kept,non-acoustic MP term from mixed procedure
Lrrk1,IMPC_CSD_003,Combined SHIRPA and Dysmorphology,abnormal locomotor behavior,kept,non-acoustic MP term from mixed procedure
Parp8,IMPC_CSD_001,Combined SHIRPA and Dysmorphology,decreased exploration in new environment,kept,non-acoustic MP term from mixed procedure
Vps37d,IMPC_ACS_003,Acoustic Startle and Pre-pulse Inhibition (PPI),decreased prepulse inhibition,removed,fully acoustic procedure
Lamb3,IMPC_CSD_003,Combined SHIRPA and Dysmorphology,abnormal tooth morphology,kept,non-acoustic MP term from mixed procedure
Otog,IMPC_ABR_002,Auditory Brain Stem Response,abnormal auditory brainstem response,removed,fully acoustic procedure
Ntf5,IMPC_CSD_003,Combined SHIRPA and Dysmorphology,abnormal locomotor behavior,kept,non-acoustic MP term from mixed procedure
Atg4b,IMPC_ACS_003,Acoustic Startle and Pre-pulse Inhibition (PPI),decreased prepulse inhibition,removed,fully acoustic procedure
Zfp119a,IMPC_ACS_003,Acoustic Startle and Pre-pulse Inhibition (PPI),increased startle reflex,removed,fully acoustic procedure
