a,b,c,d,total_with_term,odds_ratio,fold_enrichment,p_value,mp_term_id,mp_term_name,top_level_mp_id,top_level_mp_name,p_adjusted,significant,classification,procedures,classification_reason
37,96,289,6127,326,8.171100057670127,5.588657225886803,1.2522405797619448e-18,MP:0002206,abnormal CNS synaptic transmission,MP:0003631,nervous system phenotype,6.887323188690696e-18,True,acoustic_dependent,ESLIM_011_001; ICSLA_ACS_003; IMPC_ACS_003; KMPCLA_ACS_003,procedure-based (37/37=100% acoustic)
37,96,289,6127,326,8.171100057670127,5.588657225886803,1.2522405797619448e-18,MP:0003088,abnormal prepulse inhibition,MP:0003631,nervous system phenotype,6.887323188690696e-18,True,acoustic_dependent,ESLIM_011_001; ICSLA_ACS_003; IMPC_ACS_003; KMPCLA_ACS_003,keyword/ontology
37,96,289,6127,326,8.171100057670127,5.588657225886803,1.2522405797619448e-18,MP:0003635,abnormal synaptic transmission,MP:0003631,nervous system phenotype,6.887323188690696e-18,True,acoustic_dependent,ESLIM_011_001; ICSLA_ACS_003; IMPC_ACS_003; KMPCLA_ACS_003,procedure-based (37/37=100% acoustic)
37,96,289,6127,326,8.171100057670127,5.588657225886803,1.2522405797619448e-18,MP:0021009,abnormal synaptic physiology,MP:0003631,nervous system phenotype,6.887323188690696e-18,True,acoustic_dependent,ESLIM_011_001; ICSLA_ACS_003; IMPC_ACS_003; KMPCLA_ACS_003,procedure-based (37/37=100% acoustic)
35,98,257,6159,292,8.558921623123958,5.902126892573901,2.2350976435865675e-18,MP:0009142,decreased prepulse inhibition,MP:0003631,nervous system phenotype,9.834429631780898e-18,True,acoustic_dependent,ESLIM_011_001; ICSLA_ACS_003; IMPC_ACS_003; KMPCLA_ACS_003,keyword/ontology
37,96,302,6114,339,7.802773178807947,5.374342936988489,4.760518728535581e-18,MP:0003633,abnormal nervous system physiology,MP:0003631,nervous system phenotype,1.7455235337963798e-17,True,acoustic_dependent,ESLIM_011_001; ICSLA_ACS_003; IMPC_ACS_003; JAX_ECT_001; KMPCLA_ACS_003,procedure-based (37/37=100% acoustic)
4,129,88,6328,92,2.229739252995067,2.1408957175547565,0.11660855604088993,MP:0002752,abnormal somatic nervous system morphology,MP:0003631,nervous system phenotype,0.286489185262933,False,independent,IMPC_EYE_001; IMPC_EYE_003; IMPC_PAT_002,default
3,130,64,6352,67,2.2903846153846152,2.2048030524071374,0.1546906231368947,MP:0008259,abnormal optic disk morphology,MP:0003631,nervous system phenotype,0.286489185262933,False,independent,IMPC_EYE_001; IMPC_EYE_003,default
2,131,34,6382,36,2.8657386618769647,2.7355889724310773,0.16540944168944297,MP:0009141,increased prepulse inhibition,MP:0003631,nervous system phenotype,0.286489185262933,False,acoustic_dependent,ESLIM_011_001; IMPC_ACS_003,keyword/ontology
2,131,36,6380,38,2.70568278201866,2.591610605461021,0.1799632172690786,MP:0000774,decreased brain size,MP:0003631,nervous system phenotype,0.286489185262933,False,independent,IMPC_PAT_002; UCDLA_PAT_002; UCD_OWT_001,default
1,132,10,6406,11,4.8530303030303035,4.4764183185235815,0.20217558022787177,MP:0000955,abnormal spinal cord morphology,MP:0003631,nervous system phenotype,0.286489185262933,False,independent,IMPC_PAT_002,default
1,132,11,6405,12,4.411157024793388,4.103383458646617,0.21840541317826836,MP:0001081,abnormal cranial ganglia morphology,MP:0003631,nervous system phenotype,0.286489185262933,False,independent,IMPC_PAT_002,default
1,132,11,6405,12,4.411157024793388,4.103383458646617,0.21840541317826836,MP:0001100,abnormal vagus ganglion morphology,MP:0003631,nervous system phenotype,0.286489185262933,False,independent,IMPC_PAT_002,default
1,132,11,6405,12,4.411157024793388,4.103383458646617,0.21840541317826836,MP:0001101,abnormal superior vagus ganglion morphology,MP:0003631,nervous system phenotype,0.286489185262933,False,independent,IMPC_PAT_002,default
1,132,11,6405,12,4.411157024793388,4.103383458646617,0.21840541317826836,MP:0001102,small superior vagus ganglion,MP:0003631,nervous system phenotype,0.286489185262933,False,independent,IMPC_PAT_002,default
3,130,77,6339,80,1.8998001998001999,1.8465225563909773,0.2213780067940846,MP:0001056,abnormal cranial nerve morphology,MP:0003631,nervous system phenotype,0.286489185262933,False,independent,IMPC_EYE_001; IMPC_EYE_003; IMPC_PAT_002,default
3,130,77,6339,80,1.8998001998001999,1.8465225563909773,0.2213780067940846,MP:0001330,abnormal optic nerve morphology,MP:0003631,nervous system phenotype,0.286489185262933,False,independent,IMPC_EYE_001; IMPC_EYE_003; IMPC_PAT_002,default
2,131,49,6367,51,1.9837980993924287,1.9310039805395842,0.2775266290014221,MP:0000771,abnormal brain size,MP:0003631,nervous system phenotype,0.33919921322396035,False,independent,IMPC_PAT_002; UCDLA_PAT_002; UCD_OWT_001,default
1,132,17,6399,18,2.8516042780748663,2.7355889724310773,0.30912756640438055,MP:0002175,decreased brain weight,MP:0003631,nervous system phenotype,0.35793718215244064,False,independent,UCD_OWT_001,default
1,132,21,6395,22,2.306998556998557,2.2382091592617908,0.3637207283346021,MP:0012775,abnormal brain weight,MP:0003631,nervous system phenotype,0.40009280116806234,False,independent,UCD_OWT_001,default
7,126,318,6098,325,1.06533892382949,1.0605668016194332,0.49248702462270155,MP:0003632,abnormal nervous system morphology,MP:0003631,nervous system phenotype,0.515938787699973,False,independent,IMPC_EYE_001; IMPC_EYE_003; IMPC_GEL_003; IMPC_GEM_003; IMPC_GEO_003; IMPC_GEP_003; IMPC_PAT_001; IMPC_PAT_002; RBRCLA_PAT_002; UCDLA_PAT_002; UCD_OWT_001,default
2,131,156,6260,158,0.6126443531023684,0.6232987532121442,0.8363121972745865,MP:0002152,abnormal brain morphology,MP:0003631,nervous system phenotype,0.8363121972745865,False,independent,IMPC_GEL_003; IMPC_GEM_003; IMPC_GEO_003; IMPC_GEP_003; IMPC_PAT_001; IMPC_PAT_002; RBRCLA_PAT_002; UCDLA_PAT_002; UCD_OWT_001,default
20,113,375,6041,395,2.8512094395280236,2.493195012848577,0.00012261017842968928,MP:0000180,abnormal circulating cholesterol level,MP:0005376,homeostasis/metabolism phenotype,0.007382786446878317,True,independent,ESLIM_015_001; ESLIM_021_001; GMC_906_001; HMGULA_CBC_002; HRWLLA_CBC_002; ICSLA_CBC_003; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; JAX_PLC_001; KMPCLA_CBC_003; M-G-P_025_001; RBRCLA_CBC_003; TCPLA_CBC_003; UCDLA_CBC_003,default
