proc_id,proc_name,n_assertions,n_unique_mp_terms,mp_terms_sample,classification,has_acoustic_mp_terms,notes
IMPC_PAT_002,Gross Pathology and Tissue Collection,8302,118,abnormal adrenal gland morphology; abnormal bone marrow morphology; abnormal bone structure; abnormal brain morphology; abnormal cecum morphology,non_acoustic,False,
IMPC_HEM_002,Hematology,4542,32,decreased basophil cell number; decreased eosinophil cell number; decreased erythrocyte cell number; decreased hematocrit; decreased hemoglobin content,non_acoustic,False,
IMPC_DXA_001,Body Composition (DEXA lean/fat),3847,11,abnormal bone structure; decreased body length; decreased bone mineral content; decreased bone mineral density; decreased lean body mass,non_acoustic,False,
IMPC_VIA_002,Viability Primary Screen,3657,2,"preweaning lethality, complete penetrance; preweaning lethality, incomplete penetrance",non_acoustic,False,
IMPC_OFD_001,Open Field,3240,11,abnormal behavior; decreased anxiety-related response; decreased exploration in new environment; decreased locomotor activity; decreased thigmotaxis,non_acoustic,False,
IMPC_CBC_003,Clinical Chemistry,3238,49,abnormal cholesterol homeostasis; decreased blood urea nitrogen level; decreased circulating HDL cholesterol level; decreased circulating alanine transaminase level; decreased circulating alkaline phosphatase level,non_acoustic,False,
IMPC_EYE_003,Eye Morphology,2292,33,abnormal cornea morphology; abnormal eye anterior chamber depth; abnormal eye posterior chamber depth; abnormal eyelid morphology; abnormal iris morphology,non_acoustic,False,
IMPC_GEL_003,Gross Morphology Embryo E9.5,2046,29,abnormal allantois morphology; abnormal blood vessel morphology; abnormal chorioallantoic fusion; abnormal embryo development; abnormal embryo size,non_acoustic,False,
IMPC_CSD_003,Combined SHIRPA and Dysmorphology,1985,39,abnormal autopod morphology; abnormal behavior; abnormal coat appearance; abnormal coat/ hair morphology; abnormal coat/hair pigmentation,mixed_contains_acoustic,False,Includes pinna reflex/startle alongside non-acoustic items; Pass 2 handles per-gene
IMPC_EYE_001,Eye Morphology,1882,30,abnormal cornea morphology; abnormal eyelid morphology; abnormal iris morphology; abnormal iris pigmentation; abnormal iris transillumination,non_acoustic,False,
JAX_OFD_001,Open Field - centre start,1759,9,abnormal behavior; decreased anxiety-related response; decreased locomotor activity; decreased thigmotaxis; decreased vertical activity,non_acoustic,False,
IMPC_ACS_003,Acoustic Startle and Pre-pulse Inhibition (PPI),1587,4,decreased prepulse inhibition; decreased startle reflex; increased prepulse inhibition; increased startle reflex,acoustic_dependent,True,All assertions from this procedure are acoustic-dependent
IMPC_VIA_001,Viability Primary Screen,1554,2,"preweaning lethality, complete penetrance; preweaning lethality, incomplete penetrance",non_acoustic,False,
IMPC_GEO_003,Gross Morphology Embryo E14.5-E15.5,1477,31,abnormal abdominal wall morphology; abnormal blood vessel morphology; abnormal craniofacial morphology; abnormal ear morphology; abnormal embryo development,non_acoustic,False,
