mp_term_id,mp_term_name,a,b,c,d,total_with_term,odds_ratio,fold_enrichment,p_value,p_adjusted,significant
MP:0005377,hearing/vestibular/ear phenotype,106,27,197,6219,303,123.93570219966159,17.22608501451649,3.1382947140605674e-123,7.531907313745361e-122,True
MP:0005386,behavior/neurological phenotype,94,39,2216,4200,2310,4.568175506803666,2.003730104481984,5.007333259076626e-17,6.008799910891951e-16,True
MP:0003631,nervous system phenotype,41,92,578,5838,619,4.501241161426207,3.261493799118151,2.381754398973235e-12,1.905403519178588e-11,True
MP:0005390,skeleton phenotype,46,87,1049,5367,1095,2.705170770191644,2.068554949016377,3.3496654861322084e-07,2.009799291679325e-06,True
MP:0005389,reproductive system phenotype,33,100,906,5510,939,2.006953642384106,1.7305003723365924,0.0008599249382642156,0.0041276397036682354,True
MP:0005376,homeostasis/metabolism phenotype,69,64,2565,3851,2634,1.618658625730994,1.289901861715793,0.003938664338607515,0.01575465735443006,True
MP:0005387,immune system phenotype,44,89,1489,4927,1533,1.6358765780517805,1.4132984123714374,0.006596302237085111,0.02261589338429181,True
MP:0005375,adipose tissue phenotype,17,116,455,5961,472,1.9199886320575976,1.7734962406015038,0.014401506032748325,0.04320451809824497,True
MP:0005397,hematopoietic system phenotype,54,79,2131,4285,2185,1.3744661387950032,1.2169301973469142,0.046502518271801505,0.12400671539147066,False
MP:0005391,vision/eye phenotype,39,94,1499,4917,1538,1.3609285623039473,1.248623835270882,0.06910144407230756,0.14912776775155054,False
MP:0005378,growth/size/body region phenotype,45,88,1772,4644,1817,1.3401651959778371,1.219497560632456,0.07047438910200875,0.14912776775155054,False
MP:0005379,endocrine/exocrine gland phenotype,21,112,725,5691,746,1.471810344827586,1.3861295329476506,0.07456388387577527,0.14912776775155054,False
MP:0005385,cardiovascular system phenotype,33,100,1265,5151,1298,1.3437391304347825,1.2518796992481203,0.09103425576557837,0.16806324141337545,False
MP:0005371,limbs/digits/tail phenotype,10,123,339,6077,349,1.4574189989687507,1.4109054872137363,0.17087068718691986,0.29292117803471973,False
MP:0005367,renal/urinary system phenotype,16,117,662,5754,678,1.1886280889302037,1.1620200944839976,0.2998039906557809,0.47968638504924943,False
MP:0005369,muscle phenotype,2,131,61,6355,63,1.5905393567763735,1.5631936985320443,0.36733783837540207,0.5250072844157723,False
MP:0005382,craniofacial phenotype,7,126,282,6134,289,1.2084318360914106,1.192678929156802,0.3718801597945053,0.5250072844157723,False
MP:0001186,pigmentation phenotype,6,127,244,6172,250,1.1950432425455015,1.1817744360902256,0.39787717320943355,0.5305028976125781,False
MP:0005388,respiratory system phenotype,3,130,119,6297,122,1.2211376858435683,1.2108344632071983,0.4528155130467705,0.5719774901643416,False
MP:0005370,liver/biliary system phenotype,6,127,268,6148,274,1.0837936302738278,1.078261346797651,0.48509038028039736,0.5821084563364768,False
MP:0010771,integument phenotype,19,114,958,5458,977,0.9495476687543494,0.9575961397865185,0.6196852471800876,0.7082117110629572,False
MP:0005381,digestive/alimentary phenotype,3,130,165,6251,168,0.8742657342657343,0.879296455424275,0.6688151026991371,0.729616475671786,False
MP:0005380,embryo phenotype,2,131,374,6042,376,0.24664244601379762,0.26191809310510317,0.9967172867397531,0.9997198777334368,False
MP:0010768,mortality/aging,25,108,2044,4372,2069,0.49512575197506703,0.5949806851590068,0.9997198777334368,0.9997198777334368,False
