mp_term_id,mp_term_name,a,b,c,d,total_with_term,odds_ratio,fold_enrichment,p_value,p_adjusted,significant
MP:0005390,skeleton phenotype,48,85,1068,5348,1116,2.8277594183740913,2.1178753334950278,7.559592531947153e-08,1.339225659337964e-06,True
MP:0005377,hearing/vestibular/ear phenotype,7,126,14,6402,21,25.404761904761905,16.413533834586467,1.1160213827816367e-07,1.339225659337964e-06,True
MP:0005386,behavior/neurological phenotype,70,63,2026,4390,2096,2.407590216079851,1.644485737243873,5.243251590672828e-07,4.194601272538262e-06,True
MP:0005389,reproductive system phenotype,33,100,910,5506,943,1.9966813186813186,1.7231599677879748,0.0009269522813126631,0.005561713687875979,True
MP:0005376,homeostasis/metabolism phenotype,69,64,2610,3806,2679,1.572162356321839,1.2682349771404997,0.006348028669142381,0.030470537611883432,True
MP:0005387,immune system phenotype,44,89,1514,4902,1558,1.600700577382631,1.3906203248815234,0.00891115452267849,0.03564461809071396,True
MP:0005375,adipose tissue phenotype,17,116,464,5952,481,1.8799048751486325,1.7403123192596879,0.017079494156663245,0.05855826567998827,False
MP:0005378,growth/size/body region phenotype,47,86,1827,4589,1874,1.372710377922888,1.2349563877677117,0.05292926705268474,0.1556396098339274,False
MP:0005397,hematopoietic system phenotype,54,79,2160,4256,2214,1.3468354430379748,1.2009902805794976,0.05836485368772278,0.1556396098339274,False
MP:0005379,endocrine/exocrine gland phenotype,21,112,729,5687,750,1.4627057613168724,1.3787368421052633,0.07793869240712244,0.18705286177709385,False
MP:0005391,vision/eye phenotype,39,94,1528,4888,1567,1.3272251308900525,1.2255159276621674,0.0872403874156259,0.19034266345227469,False
MP:0005385,cardiovascular system phenotype,33,100,1289,5127,1322,1.3125756400310318,1.2291526850408927,0.11037790553570527,0.22075581107141054,False
MP:0005371,limbs/digits/tail phenotype,10,123,351,6065,361,1.4048131934310797,1.3640055818215902,0.19733496862275013,0.3643107113035387,False
MP:0005382,craniofacial phenotype,8,125,293,6123,301,1.3374470989761091,1.308720305747758,0.26733508808282097,0.45828872242769314,False
MP:0005367,renal/urinary system phenotype,16,117,669,5747,685,1.17476013440139,1.150145436584161,0.314450895021481,0.5031214320343695,False
MP:0005369,muscle phenotype,2,131,65,6351,67,1.4917204932472108,1.4698687016047582,0.3964178609695714,0.594626791454357,False
MP:0001186,pigmentation phenotype,6,127,251,6165,257,1.1603977789628885,1.149586027325122,0.4235310120271637,0.597926134626584,False
MP:0005370,liver/biliary system phenotype,6,127,273,6143,279,1.0630786536298347,1.0589376667475139,0.5028533541342857,0.6704711388457142,False
MP:0003631,nervous system phenotype,7,126,331,6085,338,1.021315877811346,1.0197757707879165,0.5346569991962246,0.6753562095110205,False
MP:0005388,respiratory system phenotype,3,130,156,6260,159,0.9260355029585798,0.9290679529011207,0.6318246316463926,0.742399799067466,False
MP:0010771,integument phenotype,19,114,976,5440,995,0.9289617486338798,0.940272792534099,0.6530290423950443,0.742399799067466,False
MP:0005381,digestive/alimentary phenotype,3,130,168,6248,171,0.8582417582417582,0.8638702018203404,0.6805331491451772,0.742399799067466,False
MP:0005380,embryo phenotype,3,130,413,6003,416,0.33542559135779476,0.3551004916136495,0.9922795993185255,0.9997520547837391,False
MP:0010768,mortality/aging,25,108,2053,4363,2078,0.4919404304450578,0.5924037717006665,0.9997520547837391,0.9997520547837391,False
