k,inertia,silhouette,davies_bouldin,calinski_harabasz
6,2010.06591796875,0.5385706,0.5388986963851636,176673.73277513555
7,1480.3255615234375,0.5375298,0.5224926392928728,202917.35420105018
8,1195.598388671875,0.53127706,0.5150726731701225,217060.567386705
9,952.96142578125,0.5293713,0.5191175466833389,239887.4150235141
10,798.754638671875,0.5301285,0.5179183657878396,255477.34142606266
11,671.5848388671875,0.5310362,0.5214539940318252,274421.70152169303
12,576.337158203125,0.53509855,0.4984022807170319,291455.6479888829
13,486.4925537109375,0.5347935,0.5001601371579744,317275.36781442404
14,421.0560607910156,0.53456634,0.49183161513785423,338979.1937053287
15,367.2322998046875,0.5354198,0.48964966130892196,361416.4075124448
16,324.39593505859375,0.5306225,0.49281648235171827,382313.6298115064
17,283.3423767089844,0.52718073,0.49311807791733303,410804.6322904554
18,247.47671508789062,0.53354603,0.4910215221147718,443096.42643836857
