model_name,model_dir,n_components,covariance_type,bic,aic,silhouette,log_likelihood,stability_score,training_time,timestamp,has_analysis,n_clusters,cluster_sizes
gmm_k10_full,results/gmm_k10_full,10,full,-761980.1322567014,-763848.3647642243,0.059264643045872256,6.784312437988,0.86838469199945,116698.58967,2025-06-25T10:59:22.535759,True,10,"{'0': 4701, '1': 7289, '2': 2094, '3': 18325, '4': 674, '5': 12477, '6': 182, '7': 1491, '8': 1801, '9': 7292}"
gmm_k11_full,results/gmm_k11_full,11,full,-801001.9083354308,-803057.857984858,-0.059412838590264555,7.13274383042341,0.15625468490941363,104953.460222,2025-06-25T12:49:24.594968,True,11,"{'0': 3448, '1': 7042, '2': 6682, '3': 650, '4': 7086, '5': 12007, '6': 199, '7': 3672, '8': 1624, '9': 4117, '10': 9799}"
gmm_k12_full,results/gmm_k12_full,12,full,-762352.6849178072,-764596.3517091386,0.059155156336597625,6.791697898920025,0.1006434037044735,87968.549706,2025-06-25T16:06:36.970025,True,12,"{'0': 4810, '1': 162, '2': 901, '3': 18276, '4': 1549, '5': 1, '6': 183, '7': 7056, '8': 12717, '9': 2151, '10': 444, '11': 8076}"
gmm_k3_full,results/gmm_k3_full,3,full,-753272.7448796249,-753826.9573938183,0.13234604782479426,6.692743647638908,0.9595059729183778,33750.77339,2025-06-23T20:44:18.835141,True,3,"{'0': 29629, '1': 2480, '2': 24217}"
gmm_k3_tied,results/gmm_k3_tied,3,tied,-727558.1119625062,-727844.1571311222,0.4979300461030124,6.461564438546339,0.8897913268433212,32365.328547,2025-06-23T20:21:13.298021,True,3,"{'0': 745, '1': 54853, '2': 728}"
gmm_k4_full,results/gmm_k4_full,4,full,-755316.4126172878,-756058.3422733855,0.12923404278446646,6.7129242470030315,0.7762002521044471,39693.218337,2025-06-23T22:23:21.097693,True,4,"{'0': 30081, '1': 7661, '2': 1638, '3': 16946}"
gmm_k4_tied,results/gmm_k4_tied,4,tied,-732650.7770975366,-732990.4557352681,0.43587822535458404,6.507354114754004,0.9809695838104189,32688.777598,2025-06-23T20:26:36.644989,True,4,"{'0': 2089, '1': 53120, '2': 449, '3': 668}"
gmm_k5_full,results/gmm_k5_full,5,full,-757849.0613056581,-758778.7081036599,0.11920231918246435,6.737445479029755,0.9633002809482497,54683.227479,2025-06-24T02:33:11.096903,True,5,"{'0': 8236, '1': 17428, '2': 28629, '3': 1834, '4': 199}"
gmm_k5_tied,results/gmm_k5_tied,5,tied,-735149.4135806508,-735542.7256874978,0.31983951081871664,6.530116870428379,0.4872725083239638,35741.884712,2025-06-23T21:17:29.750852,True,5,"{'0': 2504, '1': 50764, '2': 1956, '3': 653, '4': 449}"
gmm_k6_full,results/gmm_k6_full,6,full,-759020.0370665215,-760137.4010064275,0.09956253043118986,6.749879283158998,0.9403500040122026,67464.561188,2025-06-24T06:06:12.431745,True,6,"{'0': 27110, '1': 199, '2': 9974, '3': 16020, '4': 1565, '5': 1458}"
gmm_k6_tied,results/gmm_k6_tied,6,tied,-735837.917092768,-736284.8626687304,0.2542209350980369,6.536811265390144,0.8845331846710258,37896.364962,2025-06-23T21:53:24.238242,True,6,"{'0': 49617, '1': 446, '2': 656, '3': 1902, '4': 3000, '5': 705}"
gmm_k7_full,results/gmm_k7_full,7,full,-760359.4438918036,-761664.5249736139,0.03892363404979647,6.763808232198397,0.31721546911587145,72521.05373,2025-06-24T16:31:36.201843,True,7,"{'0': 7312, '1': 1053, '2': 16090, '3': 15326, '4': 1492, '5': 14856, '6': 197}"
gmm_k7_tied,results/gmm_k7_tied,7,tied,-740060.1237700953,-740560.7028151732,0.25543284068526567,6.574873973077914,0.6441337007734909,40224.725175,2025-06-24T07:38:37.222971,True,7,"{'0': 602, '1': 2834, '2': 1340, '3': 838, '4': 671, '5': 49645, '6': 396}"
gmm_k8_full,results/gmm_k8_full,8,full,-761744.6611737468,-763237.4593974613,0.040092503303922805,6.778143835861425,0.37817655901102076,97100.792034,2025-06-24T23:43:55.396491,True,8,"{'0': 13216, '1': 8242, '2': 15895, '3': 182, '4': 726, '5': 7142, '6': 9127, '7': 1796}"
gmm_k9_full,results/gmm_k9_full,9,full,-770086.1460921514,-771766.6614577702,-0.018058625357496794,6.854229498435626,0.4978205996515942,93008.778779,2025-06-24T23:45:12.997318,True,9,"{'0': 13192, '1': 718, '2': 3078, '3': 5213, '4': 1144, '5': 4050, '6': 199, '7': 7286, '8': 21446}"
