gene_symbol,allele_symbol,zygosity,center,all_bayes_factor,all_p_hearing_loss,all_hdi_lower,all_hdi_upper,all_n_mutants,all_n_controls,all_analysis_key,all_effect_6kHz-evoked,all_effect_12kHz-evoked,all_effect_18kHz-evoked,all_effect_24kHz-evoked,all_effect_30kHz-evoked,male_bayes_factor,male_p_hearing_loss,male_hdi_lower,male_hdi_upper,male_n_mutants,male_n_controls,male_analysis_key,male_effect_6kHz-evoked,male_effect_12kHz-evoked,male_effect_18kHz-evoked,male_effect_24kHz-evoked,male_effect_30kHz-evoked,female_bayes_factor,female_p_hearing_loss,female_hdi_lower,female_hdi_upper,female_n_mutants,female_n_controls,female_analysis_key,female_effect_6kHz-evoked,female_effect_12kHz-evoked,female_effect_18kHz-evoked,female_effect_24kHz-evoked,female_effect_30kHz-evoked
Kcnh8,Kcnh8<em1(IMPC)Mbp>,homozygote,UC Davis,0.0093363613424173,0.124,0.0,0.338,4.0,569.0,Kcnh8_Kcnh8<em1(IMPC)Mbp>_homozygote_UC Davis,20.054,20.037,20.002,20.049,19.958,,,,,,,,,,,,,,,,,,,,,,,,
Sun1,Sun1<tm1b(EUCOMM)Wtsi>,homozygote,ICS,1.5781501772478246,0.539,0.296,0.777,9.0,1512.0,Sun1_Sun1<tm1b(EUCOMM)Wtsi>_homozygote_ICS,37.839,57.003,53.269,41.464,26.674,10.577424023154848,0.7,0.444,0.937,6.0,767.0,Sun1_Sun1<tm1b(EUCOMM)Wtsi>_homozygote_ICS_male,37.449,56.136,53.264,42.636,28.499,0.0161310809094373,0.144,0.0,0.372,3.0,745.0,Sun1_Sun1<tm1b(EUCOMM)Wtsi>_homozygote_ICS_female,19.987,19.942,20.008,19.966,20.031
Nwd2,Nwd2<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,0.2426219322771046,0.388,0.162,0.617,12.0,2953.0,Nwd2_Nwd2<em1(IMPC)Ccpcz>_homozygote_CCP-IMG,5.47,6.978,9.804,26.47,22.907,0.0958904109589041,0.296,0.057,0.554,6.0,1480.0,Nwd2_Nwd2<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_male,11.632,16.282,16.983,21.422,20.623,0.3003901170351105,0.329,0.0,0.654,6.0,1473.0,Nwd2_Nwd2<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_female,10.102,9.122,11.508,24.695,21.732
Gzf1,Gzf1<em1(IMPC)Tcp>,homozygote,TCP,2.684937816674344,0.603,0.289,0.902,5.0,588.0,Gzf1_Gzf1<em1(IMPC)Tcp>_homozygote_TCP,13.434,11.667,15.142,15.552,13.759,,,,,,,,,,,,,0.5331544653123802,0.432,0.131,0.769,3.0,295.0,Gzf1_Gzf1<em1(IMPC)Tcp>_homozygote_TCP_female,18.02,15.85,18.137,16.548,16.2
Gzf1,Gzf1<em1(IMPC)Tcp>,heterozygote,TCP,0.0090817356205852,0.126,0.0,0.334,4.0,588.0,Gzf1_Gzf1<em1(IMPC)Tcp>_heterozygote_TCP,20.045,20.017,19.966,20.014,20.024,,,,,,,,,,,,,,,,,,,,,,,,
Mpv17,Mpv17<em1(IMPC)J>,homozygote,JAX,0.0016276449229998,0.095,0.0,0.261,7.0,2541.0,Mpv17_Mpv17<em1(IMPC)J>_homozygote_JAX,19.747,19.758,19.92,20.012,19.898,0.0228870988364659,0.153,0.0,0.404,3.0,1264.0,Mpv17_Mpv17<em1(IMPC)J>_homozygote_JAX_male,19.585,19.538,19.864,19.963,19.717,0.0071761299257207,0.123,0.0,0.324,4.0,1277.0,Mpv17_Mpv17<em1(IMPC)J>_homozygote_JAX_female,19.956,19.93,20.007,20.026,19.94
Klk6,Klk6<em1(IMPC)Wtsi>,homozygote,WTSI,0.004772670183371,0.123,0.0,0.324,4.0,904.0,Klk6_Klk6<em1(IMPC)Wtsi>_homozygote_WTSI,20.063,19.993,19.881,19.972,19.99,0.0136847440446021,0.142,0.0,0.373,3.0,453.0,Klk6_Klk6<em1(IMPC)Wtsi>_homozygote_WTSI_male,19.968,19.985,19.998,20.011,19.97,,,,,,,,,,,,
Luc7l3,Luc7l3<em1(IMPC)J>,heterozygote,JAX,0.0005002501250625,0.085,0.0,0.231,8.0,2541.0,Luc7l3_Luc7l3<em1(IMPC)J>_heterozygote_JAX,20.022,20.04,20.001,20.03,20.001,0.006669183339625,0.124,0.0,0.326,4.0,1264.0,Luc7l3_Luc7l3<em1(IMPC)J>_heterozygote_JAX_male,20.01,20.023,20.005,19.97,20.06,0.0075566750629722,0.126,0.0,0.327,4.0,1277.0,Luc7l3_Luc7l3<em1(IMPC)J>_heterozygote_JAX_female,19.995,20.085,20.026,19.961,20.025
Insyn2b,Insyn2b<em1(IMPC)J>,homozygote,JAX,0.0061627468242988,0.129,0.0,0.318,8.0,2541.0,Insyn2b_Insyn2b<em1(IMPC)J>_homozygote_JAX,18.212,17.608,18.418,20.047,18.681,0.0090817356205852,0.126,0.0,0.337,4.0,1264.0,Insyn2b_Insyn2b<em1(IMPC)J>_homozygote_JAX_male,20.016,20.05,19.942,19.955,20.021,0.0660980810234541,0.224,0.0,0.505,4.0,1277.0,Insyn2b_Insyn2b<em1(IMPC)J>_homozygote_JAX_female,17.364,16.427,17.606,20.027,18.131
Asb5,Asb5<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,0.0129146619397315,0.218,0.041,0.425,10.0,2953.0,Asb5_Asb5<em1(IMPC)Ccpcz>_homozygote_CCP-IMG,16.365,13.505,25.656,27.328,21.409,0.097694840834248,0.268,0.013,0.543,6.0,1480.0,Asb5_Asb5<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_male,13.851,10.556,20.751,24.514,20.639,0.0695187165775401,0.251,0.01,0.513,4.0,1473.0,Asb5_Asb5<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_female,19.467,18.543,24.29,25.152,21.444
